Id,Label,Score
0,0,0.15
1,1,0.75
2,2,0.9
3,3,1.0
4,4,3.0
5,5,1.35
6,6,0.15
7,7,2.7
8,8,1.0
9,9,1.0
10,10,1.0
11,11,1.0
12,12,1.0
13,13,0.5
14,14,0.5
15,15,1.0
16,16,0.2
17,17,0.5
18,18,0.002088728633646633
19,19,9.772873726901362E-5
20,20,9.772873726901362E-5
21,21,0.2
22,22,0.5
23,23,9.772873726901362E-5
24,24,0.0010652586424400583
25,25,1.0
26,26,0.0010652586424400583
27,27,0.0010652586424400583
28,28,0.0010652586424400583
29,29,0.0010652586424400583
30,30,0.0010652586424400583
31,31,1.0
32,32,0.0010652586424400583
33,33,4.886436863450681E-5
34,34,0.0010652586424400583
35,35,0.0010652586424400583
36,36,0.0010652586424400583
37,37,0.00537431324756845
38,38,9.772873726901362E-5
39,39,1.0
40,40,6.962428778822111E-4
41,41,1.0
42,42,0.002742460034428511
43,43,9.42633737658019E-5
44,44,1.0
45,45,0.0010652586424400583
46,46,0.0010652586424400583
47,47,0.0010652586424400583
48,48,0.0010652586424400583
49,49,9.772873726901362E-5
50,50,1.0
51,51,0.2
52,52,0.2
53,53,0.2
54,54,1.0
55,55,1.0
56,56,1.0
57,57,2.2493354997240018E-8
58,58,2.2493354997240018E-8
59,59,1.0
60,60,1.0
61,61,1.0
62,62,2.344757063748894
63,63,1.6352557416026133E-5
64,64,2.8016570736408577E-5
65,65,4.0277530393934305E-8
66,66,2.2493354997240018E-8
67,67,2.2493354997240018E-8
68,68,2.2493354997240018E-8
69,69,2.2493354997240018E-8
70,70,1.0
71,71,1.0
72,72,1.0
73,73,2.2493354997240018E-8
74,74,2.2493354997240018E-8
75,75,1.518844470501761E-5
76,76,2.8016570736408577E-5
77,77,4.0277530393934305E-8
78,78,2.2493354997240018E-8
79,79,1.518844470501761E-5
80,80,2.2493354997240018E-8
81,81,2.2493354997240018E-8
82,82,1.0
83,83,1.518844470501761E-5
84,84,2.8016570736408577E-5
85,85,4.0277530393934305E-8
86,86,2.908279936898437E-6
87,87,9.93026191005798E-6
88,88,1.3504360853456867
89,89,1.8387947331892143
90,90,0.33794316021757476
91,91,0.4108362629490979
92,92,1.0718703934019684
93,93,0.031008421830494112
94,94,4.564786777979222E-7
95,95,2.2493354997240018E-8
96,96,6.847180166968832E-7
97,97,6.847180166968832E-7
98,98,0.0035012483978389963
99,99,9.93026191005798E-6
100,100,0.010557239994868099
101,101,9.597490904425545E-4
102,102,1.518844470501761E-5
103,103,2.8016570736408577E-5
104,104,4.0277530393934305E-8
105,105,0.0767806819389342
106,106,2.2493354997240018E-8
107,107,2.2493354997240018E-8
108,108,2.2493354997240018E-8
109,109,2.2493354997240018E-8
110,110,0.05452373833332646
111,111,0.05452373833332646
112,112,0.0016637610120620904
113,113,0.05452373833332646
114,114,0.05452373833332646
115,115,0.05452373833332646
116,116,0.001288232859869504
117,117,0.005130147216763986
118,118,0.13012311280938862
119,119,1.5750243450863268
120,120,2.2493354997240018E-8
121,121,2.8016570736408577E-5
122,122,1.518844470501761E-5
123,123,1.518844470501761E-5
124,124,2.8016570736408577E-5
125,125,4.0277530393934305E-8
126,126,0.003104525276715673
127,127,4.636798539040415E-5
128,128,2.2175180547969093E-4
129,129,2.2493354997240018E-8
130,130,2.2493354997240018E-8
131,131,2.2493354997240018E-8
132,132,2.2493354997240018E-8
133,133,2.2493354997240018E-8
134,134,2.2493354997240018E-8
135,135,2.2493354997240018E-8
136,136,2.2493354997240018E-8
137,137,2.2493354997240018E-8
138,138,2.2493354997240018E-8
139,139,2.2175180547969093E-4
140,140,9.239658561653789E-5
141,141,2.8016570736408577E-5
142,142,1.518844470501761E-5
143,143,0.1612835818147427
144,144,1.518844470501761E-5
145,145,2.8016570736408577E-5
