Id,Label,Score
0,0,0.0
1,1,0.0
2,2,0.0
3,3,3.0
4,4,0.0
5,5,0.0
6,6,1.0
7,7,6.0
8,8,0.0
9,9,13.0
10,10,1.0
11,11,2.0
12,12,2.0
13,13,13.0
14,14,15.0
15,15,2.0
16,16,0.0
17,17,0.0
18,18,0.0
19,19,13.0
20,20,2.0
21,21,2.0
22,22,1.0
23,23,14.0
24,24,1.0
25,25,0.0
26,26,2.0
27,27,34.0
28,28,0.0
29,29,0.0
30,30,2.0
31,31,0.0
32,32,0.0
33,33,0.0
34,34,35.0
35,35,35.0
36,36,0.0
37,37,0.0
38,38,0.0
39,39,0.0
40,40,1.0
41,41,0.0
42,42,0.0
43,43,0.0
44,44,0.0
45,45,0.0
46,46,0.0
47,47,0.0
48,48,0.0
49,49,0.0
50,50,0.0
51,51,12.0
52,52,1.0
53,53,8.0
54,54,10.0
55,55,0.0
56,56,1.0
57,57,6.0
58,58,0.0
59,59,0.0
60,60,16.0
61,61,0.0
62,62,1.0
63,63,0.0
64,64,0.0
65,65,1.0
66,66,10.0
67,67,11.0
68,68,11.0
69,69,11.0
70,70,11.0
71,71,11.0
72,72,0.0
73,73,8.0
74,74,0.0
75,75,0.0
76,76,12.0
77,77,0.0
78,78,0.0
79,79,19.0
80,80,0.0
81,81,0.0
82,82,2.0
83,83,1.0
84,84,13.0
85,85,0.0
86,86,13.0
87,87,0.0
88,88,0.0
89,89,21.0
90,90,11.0
91,91,0.0
92,92,0.0
93,93,0.0
94,94,1.0
95,95,2.0
96,96,0.0
97,97,0.0
98,98,1.0
99,99,0.0
100,100,0.0
101,101,1.0
102,102,0.0
103,103,4.0
104,104,0.0
105,105,1.0
106,106,1.0
107,107,0.0
108,108,0.0
109,109,2.0
110,110,0.0
111,111,0.0
112,112,4.0
113,113,3.0
114,114,2.0
115,115,0.0
116,116,0.0
117,117,0.0
118,118,4.0
119,119,1.0
120,120,0.0
121,121,0.0
122,122,20.0
123,123,0.0
124,124,1.0
125,125,1.0
126,126,25.0
127,127,2.0
128,128,0.0
129,129,3.0
130,130,5.0
131,131,3.0
132,132,3.0
133,133,4.0
134,134,1.0
135,135,0.0
136,136,0.0
137,137,0.0
138,138,0.0
139,139,0.0
140,140,0.0
141,141,1.0
142,142,0.0
143,143,0.0
144,144,1.0
145,145,1.0
146,146,0.0
147,147,1.0
148,148,0.0
149,149,0.0
150,150,1.0
151,151,0.0
152,152,0.0
153,153,2.0
154,154,0.0
155,155,2.0
156,156,0.0
157,157,0.0
158,158,14.0
159,159,0.0
160,160,0.0
161,161,2.0
162,162,7.0
163,163,0.0
164,164,0.0
165,165,1.0
166,166,5.0
167,167,0.0
168,168,5.0
169,169,0.0
170,170,0.0
171,171,0.0
172,172,1.0
173,173,0.0
174,174,9.0
175,175,10.0
176,176,9.0
177,177,9.0
178,178,9.0
179,179,0.0
180,180,0.0
181,181,0.0
182,182,2.0
183,183,0.0
184,184,1.0
185,185,0.0
186,186,22.0
187,187,0.0
188,188,0.0
189,189,0.0
190,190,23.0
191,191,20.0
192,192,6.0
193,193,7.0
194,194,18.0
195,195,36.0
196,196,26.0
197,197,5.0
198,198,0.0
199,199,0.0
200,200,0.0
201,201,0.0
202,202,2.0
203,203,1.0
204,204,0.0
205,205,6.0
206,206,2.0
207,207,3.0
208,208,4.0
209,209,0.0
210,210,7.0
211,211,0.0
212,212,0.0
213,213,9.0
214,214,1.0
215,215,8.0
216,216,38.0
217,217,0.0
218,218,2.0
219,219,9.0
220,220,9.0
221,221,43.0
222,222,2.0
223,223,43.0
224,224,2.0
225,225,43.0
226,226,2.0
227,227,1.0
228,228,43.0
229,229,2.0
230,230,43.0
231,231,2.0
232,232,43.0
233,233,2.0
234,234,43.0
235,235,2.0
236,236,0.0
237,237,11.0
238,238,11.0
239,239,4.0
240,240,0.0
241,241,7.0
242,242,1.0
243,243,1.0
244,244,0.0
245,245,2.0
246,246,2.0
247,247,0.0
248,248,2.0
249,249,0.0
250,250,0.0
251,251,1.0
252,252,0.0
253,253,0.0
254,254,0.0
255,255,0.0
256,256,0.0
257,257,0.0
258,258,3.0
259,259,0.0
260,260,20.0
261,261,0.0
262,262,1.0
263,263,0.0
264,264,0.0
265,265,0.0
266,266,1.0
267,267,0.0
268,268,0.0
269,269,0.0
270,270,0.0
271,271,1.0
272,272,5.0
273,273,0.0
274,274,20.0
275,275,14.0
276,276,0.0
277,277,0.0
278,278,2.0
279,279,0.0
280,280,0.0
281,281,0.0
282,282,0.0
283,283,0.0
284,284,0.0
285,285,0.0
286,286,5.0
287,287,0.0
288,288,0.0
289,289,21.0
290,290,0.0
291,291,3.0
292,292,0.0
293,293,21.0
294,294,0.0
295,295,0.0
296,296,3.0
297,297,9.0
298,298,40.0
299,299,33.0
300,300,0.0
301,301,1.0
302,302,7.0
303,303,29.0
304,304,11.0
305,305,0.0
306,306,0.0
307,307,0.0
308,308,0.0
309,309,0.0
310,310,0.0
311,311,0.0
312,312,0.0
313,313,1.0
314,314,2.0
315,315,20.0
316,316,1.0
317,317,16.0
318,318,11.0
319,319,1.0
320,320,1.0
321,321,19.0
322,322,1.0
323,323,0.0
324,324,0.0
325,325,0.0
326,326,0.0
327,327,9.0
328,328,9.0
329,329,20.0
330,330,11.0
331,331,9.0
332,332,29.0
333,333,18.0
334,334,11.0
335,335,3.0
336,336,2.0
337,337,0.0
338,338,1.0
339,339,4.0
340,340,1.0
341,341,0.0
342,342,0.0
343,343,0.0
344,344,0.0
345,345,0.0
346,346,1.0
347,347,0.0
348,348,0.0
349,349,0.0
350,350,0.0
351,351,0.0
352,352,0.0
353,353,0.0
354,354,4.0
355,355,0.0
356,356,0.0
357,357,2.0
358,358,0.0
359,359,2.0
360,360,0.0
361,361,0.0
362,362,1.0
363,363,0.0
364,364,0.0
365,365,1.0
366,366,1.0
367,367,2.0
368,368,37.0
369,369,0.0
370,370,4.0
371,371,0.0
372,372,0.0
373,373,2.0
374,374,0.0
375,375,2.0
376,376,0.0
377,377,2.0
378,378,0.0
379,379,0.0
380,380,2.0
381,381,0.0
382,382,0.0
383,383,0.0
384,384,6.0
385,385,1.0
386,386,1.0
387,387,22.0
