Id,Label,Score
0,0,0.0
1,1,0.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,1.0
8,8,2.0
9,9,2.0
10,10,2.0
11,11,2.0
12,12,2.0
13,13,2.0
14,14,2.0
15,15,2.0
16,16,2.0
17,17,2.0
18,18,2.0
19,19,2.0
20,20,2.0
21,21,2.0
22,22,2.0
23,23,2.0
24,24,0.0
25,25,2.0
26,26,0.0
27,27,0.0
28,28,0.0
29,29,1.0
30,30,0.0
31,31,1.0
32,32,2.0
33,33,2.0
34,34,2.0
35,35,1.0
36,36,0.0
37,37,0.0
38,38,1.0
39,39,1.0
40,40,0.0
41,41,1.0
42,42,1.0
43,43,1.0
44,44,0.0
45,45,2.0
46,46,0.0
47,47,1.0
48,48,1.0
49,49,1.0
50,50,1.0
51,51,1.0
52,52,1.0
53,53,1.0
54,54,1.0
55,55,2.0
56,56,2.0
57,57,0.0
58,58,0.0
59,59,1.0
60,60,0.0
61,61,0.0
62,62,0.0
63,63,0.0
64,64,0.0
65,65,0.0
66,66,2.0
67,67,0.0
68,68,1.0
69,69,1.0
70,70,1.0
71,71,1.0
72,72,1.0
73,73,1.0
74,74,1.0
75,75,1.0
76,76,2.0
77,77,2.0
78,78,2.0
79,79,2.0
80,80,1.0
81,81,1.0
82,82,0.0
83,83,2.0
84,84,6.0
85,85,2.0
86,86,6.0
87,87,2.0
88,88,6.0
89,89,2.0
90,90,6.0
91,91,2.0
92,92,0.0
93,93,0.0
94,94,0.0
95,95,0.0
96,96,1.0
97,97,3.0
98,98,0.0
99,99,0.0
100,100,2.0
101,101,1.0
102,102,1.0
103,103,1.0
104,104,1.0
105,105,1.0
106,106,0.0
107,107,0.0
108,108,0.0
109,109,0.0
110,110,0.0
111,111,3.0
112,112,0.0
113,113,3.0
114,114,0.0
115,115,2.0
116,116,4.0
117,117,3.0
118,118,0.0
119,119,3.0
120,120,0.0
121,121,2.0
122,122,1.0
123,123,0.0
124,124,0.0
125,125,4.0
126,126,2.0
127,127,0.0
128,128,0.0
129,129,1.0
130,130,2.0
131,131,3.0
132,132,0.0
133,133,0.0
134,134,0.0
135,135,2.0
136,136,0.0
137,137,0.0
138,138,0.0
139,139,0.0
140,140,0.0
141,141,0.0
142,142,1.0
143,143,0.0
144,144,0.0
145,145,5.0
146,146,1.0
147,147,0.0
148,148,2.0
149,149,0.0
150,150,2.0
151,151,1.0
152,152,1.0
153,153,0.0
154,154,0.0
155,155,0.0
156,156,0.0
157,157,1.0
158,158,3.0
159,159,1.0
160,160,1.0
161,161,1.0
162,162,4.0
163,163,6.0
164,164,5.0
165,165,1.0
166,166,0.0
167,167,5.0
168,168,0.0
169,169,2.0
170,170,1.0
171,171,0.0
172,172,1.0
173,173,1.0
174,174,0.0
175,175,5.0
176,176,0.0
177,177,1.0
178,178,1.0
179,179,5.0
180,180,0.0
181,181,6.0
182,182,2.0
183,183,4.0
184,184,2.0
185,185,2.0
186,186,4.0
187,187,3.0
188,188,0.0
189,189,1.0
190,190,0.0
191,191,0.0
192,192,2.0
193,193,3.0
194,194,3.0
195,195,4.0
196,196,5.0
197,197,4.0
198,198,4.0
199,199,4.0
200,200,1.0
201,201,0.0
202,202,2.0
203,203,0.0
204,204,3.0
205,205,0.0
206,206,1.0
207,207,1.0
208,208,1.0
209,209,1.0
210,210,1.0
211,211,1.0
212,212,1.0
213,213,1.0
214,214,1.0
215,215,1.0
216,216,1.0
217,217,1.0
218,218,1.0
219,219,0.0
220,220,0.0
221,221,0.0
222,222,0.0
223,223,1.0
224,224,0.0
225,225,1.0
226,226,1.0
227,227,1.0
228,228,0.0
229,229,1.0
230,230,2.0
231,231,1.0
232,232,1.0
233,233,4.0
234,234,4.0
235,235,6.0
236,236,6.0
237,237,7.0
238,238,4.0
239,239,0.0
240,240,1.0
241,241,1.0
242,242,1.0
243,243,2.0
244,244,4.0
245,245,4.0
246,246,5.0
247,247,2.0
248,248,1.0
249,249,0.0
250,250,0.0
251,251,4.0
252,252,6.0
253,253,6.0
254,254,7.0
255,255,4.0
256,256,1.0
257,257,6.0
258,258,2.0
259,259,18.0
260,260,9.0
261,261,8.0
262,262,7.0
263,263,18.0
264,264,9.0
265,265,4.0
266,266,4.0
267,267,3.0
268,268,1.0
269,269,1.0
270,270,0.0
271,271,0.0
272,272,9.0
273,273,0.0
274,274,5.0
275,275,1.0
276,276,2.0
277,277,1.0
278,278,2.0
279,279,2.0
280,280,5.0
281,281,1.0
282,282,1.0
283,283,3.0
284,284,3.0
285,285,0.0
286,286,2.0
287,287,2.0
288,288,5.0
289,289,2.0
290,290,3.0
291,291,7.0
292,292,2.0
293,293,1.0
294,294,0.0
295,295,3.0
296,296,18.0
297,297,8.0
298,298,18.0
299,299,4.0
300,300,8.0
301,301,2.0
302,302,1.0
303,303,4.0
304,304,5.0
305,305,3.0
306,306,0.0
307,307,7.0
308,308,0.0
309,309,11.0
310,310,9.0
311,311,12.0
312,312,1.0
313,313,4.0
314,314,0.0
315,315,0.0
316,316,3.0
317,317,0.0
318,318,4.0
319,319,4.0
320,320,4.0
321,321,0.0
322,322,1.0
323,323,7.0
324,324,0.0
325,325,2.0
326,326,5.0
327,327,6.0
328,328,2.0
329,329,0.0
330,330,17.0
331,331,15.0
332,332,8.0
333,333,0.0
334,334,0.0
335,335,14.0
336,336,2.0
337,337,3.0
338,338,4.0
339,339,1.0
340,340,0.0
341,341,4.0
342,342,1.0
343,343,7.0
344,344,1.0
345,345,5.0
346,346,10.0
347,347,2.0
348,348,0.0
349,349,6.0
350,350,7.0
351,351,5.0
352,352,0.0
353,353,7.0
354,354,2.0
355,355,17.0
356,356,15.0
357,357,3.0
358,358,6.0
359,359,12.0
360,360,0.0
361,361,1.0
362,362,7.0
363,363,1.0
364,364,9.0
365,365,7.0
366,366,0.0
367,367,1.0
368,368,4.0
369,369,0.0
370,370,10.0
371,371,7.0
372,372,8.0
373,373,0.0
374,374,9.0
375,375,0.0
376,376,1.0
377,377,1.0
378,378,1.0
379,379,0.0
380,380,2.0
381,381,2.0
382,382,0.0
383,383,1.0
384,384,1.0
385,385,0.0
386,386,1.0
387,387,0.0
388,388,0.0
389,389,1.0
390,390,1.0
391,391,1.0
392,392,1.0
393,393,1.0
394,394,1.0
395,395,1.0
396,396,0.0
397,397,4.0
398,398,1.0
399,399,1.0
400,400,1.0
401,401,1.0
402,402,1.0
403,403,1.0
404,404,0.0
405,405,0.0
406,406,1.0
407,407,0.0
408,408,0.0
409,409,1.0
410,410,2.0
411,411,0.0
412,412,0.0
413,413,1.0
414,414,5.0
415,415,5.0
416,416,0.0
417,417,3.0
418,418,0.0
419,419,3.0
420,420,3.0
421,421,0.0
422,422,0.0
423,423,0.0
424,424,0.0
425,425,0.0
426,426,0.0
427,427,1.0
428,428,0.0
429,429,0.0
430,430,0.0
431,431,1.0
432,432,0.0
433,433,1.0
434,434,0.0
435,435,0.0
436,436,1.0
437,437,2.0
438,438,0.0
439,439,1.0
440,440,4.0
441,441,2.0
442,442,4.0
443,443,2.0
444,444,1.0
445,445,0.0
446,446,0.0
447,447,0.0
448,448,0.0
449,449,1.0
450,450,1.0
451,451,1.0
452,452,0.0
453,453,0.0
454,454,6.0
455,455,3.0
456,456,0.0
457,457,0.0
458,458,0.0
459,459,0.0
460,460,0.0
461,461,7.0
462,462,2.0
463,463,2.0
464,464,1.0
465,465,3.0
466,466,2.0
467,467,2.0
468,468,0.0
469,469,4.0
470,470,2.0
471,471,2.0
472,472,3.0
473,473,7.0
474,474,2.0
475,475,5.0
476,476,2.0
477,477,1.0
478,478,7.0
479,479,9.0
480,480,1.0
481,481,1.0
482,482,0.0
483,483,0.0
484,484,0.0
485,485,3.0
486,486,1.0
487,487,3.0
488,488,14.0
489,489,1.0
490,490,1.0
491,491,1.0
492,492,1.0
493,493,0.0
494,494,0.0
495,495,1.0
496,496,1.0
497,497,0.0
498,498,0.0
499,499,1.0
500,500,3.0
501,501,1.0
502,502,2.0
503,503,0.0
504,504,1.0
505,505,1.0
506,506,0.0
507,507,3.0
508,508,2.0
509,509,1.0
510,510,0.0
511,511,0.0
512,512,0.0
513,513,1.0
514,514,3.0
515,515,2.0
516,516,2.0
517,517,3.0
518,518,1.0
519,519,1.0
520,520,23.0
521,521,1.0
522,522,1.0
523,523,1.0
524,524,5.0
525,525,3.0
526,526,5.0
527,527,7.0
528,528,3.0
529,529,0.0
530,530,0.0
531,531,1.0
532,532,0.0
533,533,0.0
534,534,1.0
535,535,4.0
536,536,1.0
537,537,2.0
538,538,1.0
539,539,1.0
540,540,1.0
541,541,1.0
542,542,1.0
543,543,1.0
544,544,3.0
545,545,2.0
546,546,2.0
547,547,0.0
548,548,6.0
549,549,4.0
550,550,2.0
551,551,6.0
552,552,8.0
553,553,0.0
554,554,0.0
555,555,2.0
556,556,2.0
557,557,2.0
558,558,0.0
559,559,2.0
560,560,1.0
561,561,0.0
562,562,0.0
563,563,0.0
564,564,3.0
565,565,3.0
566,566,0.0
567,567,1.0
568,568,4.0
569,569,4.0
570,570,1.0
571,571,5.0
572,572,0.0
573,573,5.0
574,574,5.0
575,575,0.0
576,576,4.0
577,577,5.0
578,578,1.0
579,579,0.0
580,580,0.0
581,581,0.0
582,582,0.0
583,583,12.0
584,584,6.0
585,585,3.0
586,586,9.0
587,587,8.0
588,588,8.0
589,589,2.0
590,590,4.0
591,591,2.0
592,592,8.0
593,593,9.0
594,594,5.0
595,595,5.0
596,596,0.0
597,597,0.0
598,598,0.0
599,599,2.0
600,600,9.0
601,601,8.0
602,602,8.0
603,603,8.0
604,604,1.0
605,605,1.0
606,606,0.0
607,607,1.0
608,608,0.0
609,609,3.0
610,610,0.0
611,611,1.0
612,612,0.0
613,613,7.0
614,614,6.0
615,615,2.0
616,616,9.0
617,617,4.0
618,618,7.0
619,619,1.0
620,620,0.0
621,621,0.0
622,622,1.0
623,623,1.0
624,624,1.0
625,625,1.0
626,626,1.0
627,627,3.0
628,628,2.0
629,629,0.0
630,630,2.0
631,631,2.0
632,632,1.0
633,633,0.0
634,634,0.0
635,635,1.0
636,636,1.0
637,637,1.0
638,638,0.0
639,639,2.0
640,640,1.0
641,641,0.0
642,642,1.0
643,643,0.0
644,644,1.0
645,645,1.0
646,646,2.0
647,647,1.0
648,648,1.0
649,649,1.0
650,650,1.0
651,651,1.0
652,652,1.0
653,653,0.0
654,654,0.0
655,655,2.0
656,656,1.0
657,657,1.0
658,658,0.0
659,659,1.0
660,660,0.0
661,661,0.0
662,662,1.0
663,663,0.0
664,664,0.0
665,665,0.0
666,666,2.0
667,667,3.0
668,668,2.0
669,669,2.0
670,670,2.0
671,671,2.0
672,672,3.0
673,673,1.0
674,674,2.0
675,675,5.0
676,676,1.0
677,677,3.0
678,678,3.0
679,679,0.0
680,680,3.0
681,681,2.0
682,682,5.0
683,683,2.0
684,684,3.0
