Id,Label,Score
0,0,0.08116
1,1,0.03238
2,2,0.01177
3,3,0.0122
4,4,0.0
5,5,0.01388
6,6,0.00463
7,7,0.00505
8,8,0.06728
9,9,0.01388
10,10,0.00673
11,11,0.00421
12,12,0.00589
13,13,0.0
14,14,8.4E-4
15,15,0.01472
16,16,0.00378
17,17,0.00589
18,18,0.00631
19,19,0.0799
20,20,0.00547
21,21,0.00421
22,22,0.07948
23,23,0.03196
24,24,0.0799
25,25,0.03154
26,26,0.0799
27,27,0.08032
28,28,0.08074
29,29,0.08242
30,30,0.00378
31,31,0.02229
32,32,0.03238
33,33,0.08032
34,34,0.08116
35,35,0.01472
36,36,0.01135
37,37,0.06098
38,38,0.0614
39,39,0.00421
40,40,0.00463
41,41,0.00421
42,42,0.00378
43,43,0.03112
44,44,0.00631
45,45,0.00673
46,46,0.00421
47,47,0.01556
48,48,0.01598
49,49,0.0614
50,50,0.01556
51,51,0.01598
52,52,0.06224
53,53,0.06182
54,54,0.01304
55,55,0.0143
56,56,0.00967
57,57,0.0
58,58,0.07906
59,59,0.00421
60,60,0.00421
61,61,0.00421
62,62,0.03154
63,63,0.06224
64,64,0.06182
65,65,0.0614
66,66,0.06182
67,67,0.00421
68,68,0.082
69,69,0.00378
70,70,0.00421
71,71,0.00421
72,72,0.00378
73,73,0.08242
74,74,0.08368
75,75,0.00421
76,76,0.00589
77,77,0.00378
78,78,0.00967
79,79,0.00421
80,80,0.08284
81,81,0.00421
82,82,0.00421
83,83,0.00421
84,84,0.00421
85,85,0.00378
86,86,0.03238
87,87,0.00421
88,88,0.00421
89,89,0.00421
90,90,0.00463
91,91,0.00378
92,92,0.00378
93,93,0.01346
94,94,0.00421
95,95,0.06224
96,96,0.01556
97,97,0.00589
98,98,0.00421
99,99,0.00547
100,100,0.00421
101,101,0.00378
102,102,0.00378
103,103,0.08326
104,104,0.07948
105,105,0.00378
106,106,0.0614
107,107,0.0164
108,108,0.00967
109,109,0.01388
110,110,0.02145
111,111,0.08242
112,112,0.03238
113,113,0.01514
114,114,0.01514
115,115,0.01346
116,116,0.04121
117,117,0.0614
118,118,0.06182
119,119,0.06182
120,120,0.06182
121,121,0.06182
122,122,0.06182
123,123,0.06182
124,124,0.06182
125,125,0.06182
126,126,0.00378
127,127,0.01388
128,128,0.00589
129,129,0.00463
130,130,0.04163
131,131,0.00421
132,132,0.00463
133,133,0.08032
134,134,0.00378
135,135,0.00378
136,136,0.07948
137,137,0.01472
138,138,0.01472
139,139,0.00589
140,140,0.00631
141,141,0.00421
142,142,0.00673
143,143,0.00421
144,144,8.4E-4
145,145,0.00673
146,146,0.00421
147,147,0.00421
148,148,0.00421
149,149,0.00421
150,150,0.00421
151,151,0.00631
152,152,0.00631
153,153,0.08326
154,154,0.00421
155,155,0.00421
156,156,0.00378
157,157,0.00378
158,158,0.07948
159,159,0.08032
160,160,0.0614
161,161,0.07948
162,162,0.00589
163,163,0.00421
164,164,0.00421
165,165,0.00421
166,166,0.0164
167,167,0.01177
168,168,0.08032
169,169,0.08158
170,170,0.082
171,171,0.00378
172,172,0.0614
173,173,0.02145
174,174,0.03238
175,175,0.02229
176,176,0.03154
177,177,0.00589
178,178,0.03112
179,179,0.00421
180,180,0.02103
181,181,0.03196
182,182,0.00378
183,183,0.00631
184,184,0.00378
185,185,0.00673
186,186,0.00673
187,187,0.00673
188,188,0.00673
189,189,0.01598
190,190,0.00421
191,191,0.00421
192,192,0.01135
193,193,0.00378
194,194,0.00673
195,195,0.00421
196,196,0.00421
197,197,0.00421
198,198,0.00421
199,199,0.00421
200,200,0.0143
201,201,0.01093
202,202,0.07948
203,203,0.03196
204,204,0.00673
205,205,0.00463
206,206,0.00631
207,207,0.00799
208,208,0.00841
209,209,0.02187
210,210,0.0328
211,211,0.0143
212,212,0.01388
213,213,0.00378
214,214,0.0164
215,215,0.01177
216,216,0.00757
217,217,0.00673
218,218,0.00378
219,219,0.02902
220,220,0.00421
221,221,0.08032
222,222,0.03196
223,223,0.00673
224,224,0.00505
225,225,0.08032
226,226,0.03196
227,227,0.00547
228,228,0.00547
229,229,0.00421
230,230,0.00505
231,231,0.04163
232,232,0.00547
233,233,0.01514
234,234,0.02902
235,235,0.08074
236,236,0.08158
237,237,0.08032
238,238,0.08116
239,239,0.08074
240,240,0.08158
241,241,0.0286
242,242,0.02817
243,243,0.0286
244,244,0.0286
245,245,0.0286
246,246,0.0286
247,247,0.07696
248,248,0.00421
249,249,0.00421
250,250,0.00421
251,251,0.00589
252,252,0.06812
253,253,0.0
254,254,0.02775
255,255,0.00421
256,256,0.00463
257,257,0.08158
258,258,0.00421
259,259,0.03196
260,260,0.00378
261,261,0.0143
262,262,0.00378
263,263,0.00631
264,264,0.00547
265,265,0.00378
266,266,0.00421
267,267,0.02019
268,268,0.00589
269,269,0.00589
270,270,0.0143
271,271,0.00631
272,272,0.00421
273,273,0.00421
274,274,8.4E-4
275,275,0.0143
276,276,0.00421
277,277,0.00378
278,278,0.00421
279,279,0.00505
280,280,0.00252
281,281,0.01808
282,282,0.00715
283,283,0.00463
284,284,0.01388
285,285,0.01724
286,286,0.0185
287,287,0.00757
288,288,0.00757
289,289,4.2E-4
290,290,0.01976
291,291,0.00547
292,292,0.00378
293,293,0.06981
294,294,0.01724
295,295,4.2E-4
296,296,0.00673
297,297,0.01598
298,298,0.00799
299,299,0.01682
300,300,0.01472
301,301,0.00589
302,302,0.00589
303,303,0.00547
304,304,0.00715
305,305,0.00673
306,306,0.02229
307,307,0.00631
308,308,0.02103
309,309,0.00463
310,310,0.01472
311,311,0.01934
312,312,0.01934
313,313,0.00547
314,314,0.02061
315,315,0.01472
316,316,0.06476
317,317,0.00378
318,318,0.00505
319,319,0.00757
320,320,8.4E-4
321,321,0.02271
322,322,0.00547
323,323,0.00631
324,324,0.00505
325,325,0.00589
326,326,0.00631
327,327,4.2E-4
328,328,0.00631
329,329,0.00505
330,330,0.00589
331,331,0.06224
332,332,0.0614
333,333,0.06182
334,334,0.00673
335,335,0.00547
336,336,0.00631
337,337,0.00631
338,338,0.00589
339,339,0.00505
340,340,0.00589
341,341,0.00547
342,342,0.00925
343,343,0.01009
344,344,0.00673
345,345,0.00631
346,346,4.2E-4
347,347,0.00715
348,348,0.00589
349,349,0.00673
350,350,0.00967
351,351,0.00715
352,352,0.00799
353,353,0.00841
354,354,0.00799
355,355,0.00757
356,356,0.00841
357,357,0.00378
358,358,0.00967
359,359,0.00505
360,360,0.00589
361,361,0.06308
362,362,0.0614
363,363,0.06182
364,364,0.06182
365,365,0.06182
366,366,0.00463
367,367,0.00589
368,368,0.00378
369,369,0.00673
370,370,0.01892
371,371,0.04163
372,372,0.04205
373,373,0.00463
374,374,0.02103
375,375,0.00378
376,376,0.01682
377,377,0.00378
378,378,0.00378
379,379,0.04205
380,380,0.00757
381,381,0.00589
382,382,0.00378
383,383,0.00378
384,384,0.02019
385,385,0.00421
386,386,0.04247
387,387,0.00421
388,388,0.00421
389,389,0.00421
390,390,0.00421
391,391,0.00378
392,392,0.00378
393,393,0.02061
394,394,0.00589
395,395,0.00547
396,396,0.00841
397,397,0.00883
398,398,0.00883
399,399,0.00421
400,400,0.00799
401,401,0.01009
402,402,0.00799
403,403,0.00841
404,404,0.00841
405,405,0.00421
406,406,0.00421
407,407,0.00841
408,408,0.00883
409,409,0.00883
410,410,0.00421
411,411,0.00421
412,412,0.00883
413,413,0.0143
414,414,0.00799
415,415,0.00841
416,416,0.00841
417,417,0.00421
418,418,0.01388
419,419,0.00799
420,420,0.00841
421,421,0.00463
422,422,0.00463
423,423,0.00841
424,424,0.00463
425,425,0.00463
426,426,0.00421
427,427,0.0
428,428,0.00421
429,429,0.00463
430,430,0.00463
431,431,0.00799
432,432,0.00841
433,433,0.00841
434,434,0.00421
435,435,0.00421
436,436,0.00631
437,437,0.00841
438,438,0.00841
439,439,0.00799
440,440,0.00421
441,441,0.00841
442,442,0.00883
443,443,0.00883
444,444,0.00589
445,445,0.00589
446,446,0.00799
447,447,0.00421
448,448,0.00463
449,449,0.00925
450,450,0.00715
451,451,0.0286
452,452,0.01598
453,453,0.01304
454,454,0.00505
455,455,0.01514
456,456,0.02649
457,457,0.0286
458,458,0.02775
459,459,0.00421
460,460,0.0286
461,461,0.01051
462,462,0.01093
463,463,0.00463
464,464,0.02902
465,465,0.01556
466,466,0.00378
467,467,0.00421
468,468,0.00421
469,469,0.00421
470,470,0.00421
471,471,0.00421
472,472,0.00421
473,473,0.01135
474,474,0.01556
475,475,0.0
476,476,0.01514
477,477,0.0
478,478,4.2E-4
479,479,0.0143
480,480,0.0122
481,481,0.00421
482,482,0.02902
483,483,0.00378
484,484,0.01514
485,485,0.00463
486,486,0.01093
487,487,0.0164
488,488,0.00505
489,489,0.01724
490,490,0.00925
491,491,0.0143
492,492,0.01262
493,493,0.01514
494,494,0.01556
495,495,0.0286
496,496,0.00421
497,497,0.00421
498,498,0.00463
499,499,0.0
500,500,0.01976
501,501,0.00883
502,502,0.01598
503,503,0.01892
504,504,0.01808
505,505,0.00883
506,506,0.01766
507,507,0.01934
508,508,0.01934
509,509,0.0185
510,510,0.0778
511,511,0.0778
512,512,0.01766
513,513,0.07822
514,514,0.0778
515,515,0.03238
516,516,0.03322
517,517,0.00967
518,518,0.0841
519,519,0.08452
520,520,0.0
521,521,0.0841
522,522,0.082
523,523,0.0778
524,524,0.0778
525,525,0.0778
526,526,0.02187
527,527,0.0
528,528,0.01724
529,529,0.02187
530,530,0.082
531,531,0.0778
532,532,0.02229
533,533,0.00799
534,534,0.07864
535,535,0.0778
536,536,0.00505
537,537,0.07822
538,538,0.0778
539,539,0.07822
540,540,0.00378
541,541,0.08368
542,542,0.01556
543,543,0.00378
544,544,0.00463
545,545,0.01514
546,546,0.00421
547,547,0.01472
548,548,0.0143
549,549,0.01388
550,550,0.01598
551,551,0.01472
552,552,0.01556
553,553,0.00421
554,554,0.08495
555,555,0.00673
556,556,0.00463
557,557,0.00757
558,558,0.08537
559,559,0.00421
560,560,0.00421
561,561,0.08158
562,562,0.01262
563,563,0.00421
564,564,0.00547
565,565,0.00673
566,566,0.00378
567,567,0.00631
568,568,0.00673
569,569,0.00631
570,570,0.00421
571,571,0.00673
572,572,0.00463
573,573,0.00421
574,574,0.00421
575,575,0.00841
576,576,0.00463
577,577,0.06476
578,578,0.01388
579,579,0.00799
580,580,0.00421
581,581,0.00841
582,582,0.00673
583,583,0.00378
584,584,0.00673
585,585,0.0143
586,586,0.00463
587,587,0.00378
588,588,0.00673
589,589,0.00421
590,590,0.00505
591,591,0.00589
592,592,0.00547
593,593,0.06434
594,594,0.0614
595,595,0.06182
596,596,0.06182
597,597,0.01472
598,598,0.00673
599,599,0.00757
600,600,0.00378
601,601,0.00799
602,602,0.00421
603,603,0.00378
604,604,0.00505
605,605,0.00673
606,606,0.00505
607,607,0.00589
608,608,0.00547
609,609,0.0
610,610,0.01009
611,611,0.00799
612,612,0.00378
613,613,0.00463
614,614,0.01388
615,615,0.00589
616,616,0.0614
617,617,0.01598
618,618,0.07948
619,619,0.00421
620,620,0.00589
621,621,0.00673
622,622,0.00631
623,623,0.0143
624,624,0.00252
625,625,0.00799
626,626,0.0143
627,627,0.01472
628,628,0.0164
629,629,0.01556
630,630,0.02691
631,631,0.00421
632,632,0.00378
633,633,0.00378
634,634,0.01682
635,635,0.00378
636,636,0.02565
637,637,0.00547
638,638,0.00547
639,639,0.00378
640,640,0.00421
641,641,0.00715
642,642,0.00715
643,643,0.00715
644,644,0.00715
645,645,0.00715
646,646,0.00673
647,647,0.00673
648,648,0.00715
649,649,0.00673
650,650,0.00715
651,651,0.00715
