Id,Label,Score
0,0,0.0
1,1,1.0
2,2,2.0
3,3,0.0
4,4,1.0
5,5,1.0
6,6,1.0
7,7,1.0
8,8,7.0
9,9,0.0
10,10,7.0
11,11,0.0
12,12,1.0
13,13,0.0
14,14,4.0
15,15,2.0
16,16,0.0
17,17,1.0
18,18,0.0
19,19,5.0
20,20,5.0
21,21,3.0
22,22,5.0
23,23,3.0
24,24,3.0
25,25,5.0
26,26,5.0
27,27,3.0
28,28,5.0
29,29,3.0
30,30,3.0
31,31,6.0
32,32,5.0
33,33,0.0
34,34,0.0
35,35,0.0
36,36,0.0
37,37,0.0
38,38,0.0
39,39,0.0
40,40,0.0
41,41,0.0
42,42,0.0
43,43,0.0
44,44,0.0
45,45,0.0
46,46,0.0
47,47,0.0
48,48,0.0
49,49,0.0
50,50,0.0
51,51,0.0
52,52,0.0
53,53,0.0
54,54,0.0
55,55,0.0
56,56,0.0
57,57,0.0
58,58,0.0
59,59,0.0
60,60,0.0
61,61,0.0
62,62,0.0
63,63,0.0
64,64,0.0
65,65,0.0
66,66,0.0
67,67,0.0
68,68,4.0
69,69,5.0
70,70,5.0
71,71,1.0
72,72,7.0
73,73,5.0
74,74,7.0
75,75,2.0
76,76,5.0
77,77,5.0
78,78,5.0
79,79,6.0
80,80,6.0
81,81,6.0
82,82,2.0
83,83,6.0
84,84,2.0
85,85,6.0
86,86,8.0
87,87,4.0
88,88,6.0
89,89,6.0
90,90,8.0
91,91,6.0
92,92,8.0
93,93,6.0
94,94,5.0
95,95,9.0
96,96,1.0
97,97,1.0
98,98,1.0
99,99,1.0
100,100,1.0
101,101,1.0
102,102,1.0
103,103,1.0
104,104,1.0
105,105,1.0
106,106,1.0
107,107,10.0
108,108,1.0
109,109,1.0
110,110,1.0
111,111,1.0
112,112,1.0
113,113,1.0
114,114,1.0
115,115,1.0
116,116,1.0
117,117,1.0
118,118,1.0
119,119,1.0
120,120,1.0
121,121,6.0
122,122,1.0
123,123,1.0
124,124,1.0
125,125,1.0
126,126,1.0
127,127,1.0
128,128,1.0
129,129,1.0
130,130,1.0
131,131,1.0
132,132,1.0
133,133,10.0
134,134,1.0
135,135,1.0
136,136,1.0
137,137,1.0
138,138,1.0
139,139,1.0
140,140,1.0
141,141,1.0
142,142,1.0
143,143,1.0
144,144,1.0
145,145,11.0
146,146,1.0
147,147,1.0
148,148,1.0
149,149,1.0
150,150,1.0
151,151,1.0
152,152,1.0
153,153,1.0
154,154,1.0
155,155,1.0
156,156,1.0
157,157,1.0
158,158,0.0
159,159,0.0
160,160,10.0
161,161,11.0
162,162,7.0
163,163,11.0
164,164,12.0
165,165,0.0
166,166,8.0
167,167,16.0
168,168,17.0
169,169,21.0
170,170,11.0
171,171,12.0
172,172,16.0
173,173,17.0
174,174,20.0
175,175,21.0
176,176,13.0
177,177,16.0
178,178,19.0
179,179,12.0
180,180,13.0
181,181,15.0
182,182,16.0
183,183,18.0
184,184,32.0
185,185,3.0
186,186,0.0
187,187,20.0
188,188,20.0
189,189,20.0
190,190,20.0
191,191,20.0
192,192,20.0
