Id,Label,Score
0,0,0.0
1,1,0.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,0.0
10,10,0.0
11,11,0.0
12,12,9.0
13,13,1.0
14,14,0.0
15,15,16.0
16,16,2.0
17,17,0.0
18,18,0.0
19,19,0.0
20,20,0.0
21,21,13.0
22,22,11.0
23,23,16.0
24,24,3.0
25,25,0.0
26,26,4.0
27,27,1.0
28,28,4.0
29,29,0.0
30,30,0.0
31,31,2.0
32,32,0.0
33,33,0.0
34,34,16.0
35,35,0.0
36,36,0.0
37,37,0.0
38,38,1.0
39,39,0.0
40,40,0.0
41,41,1.0
42,42,0.0
43,43,18.0
44,44,19.0
45,45,18.0
46,46,1.0
47,47,1.0
48,48,0.0
49,49,3.0
50,50,0.0
51,51,1.0
52,52,4.0
53,53,0.0
54,54,0.0
55,55,2.0
56,56,0.0
57,57,0.0
58,58,0.0
59,59,1.0
60,60,1.0
61,61,0.0
62,62,1.0
63,63,5.0
64,64,8.0
65,65,8.0
66,66,8.0
67,67,7.0
68,68,8.0
69,69,8.0
70,70,8.0
71,71,8.0
72,72,0.0
73,73,0.0
74,74,0.0
75,75,1.0
76,76,2.0
77,77,1.0
78,78,0.0
79,79,11.0
80,80,11.0
81,81,11.0
82,82,6.0
83,83,7.0
84,84,0.0
85,85,0.0
86,86,11.0
87,87,0.0
88,88,0.0
89,89,11.0
90,90,0.0
91,91,0.0
92,92,7.0
93,93,0.0
94,94,0.0
95,95,0.0
96,96,1.0
97,97,12.0
98,98,0.0
99,99,1.0
100,100,6.0
101,101,0.0
102,102,0.0
103,103,1.0
104,104,1.0
105,105,1.0
106,106,0.0
107,107,3.0
108,108,1.0
109,109,1.0
110,110,1.0
111,111,5.0
112,112,0.0
113,113,4.0
114,114,1.0
115,115,5.0
116,116,4.0
117,117,1.0
118,118,3.0
119,119,5.0
120,120,5.0
121,121,4.0
122,122,1.0
123,123,4.0
124,124,4.0
125,125,1.0
126,126,8.0
127,127,8.0
128,128,1.0
129,129,0.0
130,130,12.0
131,131,10.0
132,132,11.0
133,133,3.0
134,134,0.0
135,135,4.0
136,136,0.0
137,137,6.0
138,138,1.0
139,139,2.0
140,140,2.0
141,141,2.0
142,142,0.0
143,143,2.0
144,144,1.0
145,145,1.0
146,146,1.0
147,147,2.0
148,148,4.0
149,149,1.0
150,150,1.0
151,151,1.0
152,152,1.0
153,153,1.0
154,154,1.0
155,155,1.0
156,156,0.0
157,157,0.0
158,158,13.0
159,159,14.0
160,160,1.0
161,161,15.0
162,162,16.0
163,163,0.0
164,164,15.0
165,165,13.0
166,166,1.0
167,167,1.0
168,168,0.0
169,169,0.0
170,170,15.0
171,171,0.0
172,172,1.0
173,173,0.0
174,174,1.0
175,175,1.0
176,176,0.0
177,177,7.0
178,178,0.0
179,179,0.0
180,180,0.0
