Id,Label,Score
0,0,0.0
1,1,5.0
2,2,2.0
3,3,0.0
4,4,6.0
5,5,1.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,0.0
10,10,0.0
11,11,0.0
12,12,0.0
13,13,1.0
14,14,1.0
15,15,0.0
16,16,1.0
17,17,1.0
18,18,13.0
19,19,4.0
20,20,4.0
21,21,1.0
22,22,1.0
23,23,5.0
24,24,12.0
25,25,0.0
26,26,12.0
27,27,12.0
28,28,12.0
29,29,12.0
30,30,12.0
31,31,0.0
32,32,12.0
33,33,4.0
34,34,12.0
35,35,12.0
36,36,12.0
37,37,3.0
38,38,3.0
39,39,0.0
40,40,12.0
41,41,0.0
42,42,11.0
43,43,1.0
44,44,0.0
45,45,12.0
46,46,12.0
47,47,12.0
48,48,12.0
49,49,4.0
50,50,0.0
51,51,1.0
52,52,1.0
53,53,1.0
54,54,0.0
55,55,0.0
56,56,0.0
57,57,3.0
58,58,3.0
59,59,0.0
60,60,0.0
61,61,0.0
62,62,10.0
63,63,15.0
64,64,15.0
65,65,15.0
66,66,3.0
67,67,3.0
68,68,3.0
69,69,3.0
70,70,0.0
71,71,0.0
72,72,0.0
73,73,3.0
74,74,3.0
75,75,15.0
76,76,15.0
77,77,15.0
78,78,2.0
79,79,15.0
80,80,3.0
81,81,3.0
82,82,0.0
83,83,15.0
84,84,15.0
85,85,15.0
86,86,1.0
87,87,16.0
88,88,12.0
89,89,0.0
90,90,18.0
91,91,21.0
92,92,21.0
93,93,0.0
94,94,31.0
95,95,3.0
96,96,29.0
97,97,12.0
98,98,1.0
99,99,16.0
100,100,18.0
101,101,17.0
102,102,15.0
103,103,15.0
104,104,15.0
105,105,17.0
106,106,2.0
107,107,2.0
108,108,2.0
109,109,2.0
110,110,18.0
111,111,18.0
112,112,18.0
113,113,18.0
114,114,18.0
115,115,18.0
116,116,18.0
117,117,34.0
118,118,0.0
119,119,3.0
120,120,3.0
121,121,15.0
122,122,15.0
123,123,15.0
124,124,15.0
125,125,15.0
126,126,21.0
127,127,24.0
128,128,5.0
129,129,3.0
130,130,3.0
131,131,3.0
132,132,3.0
133,133,3.0
134,134,3.0
135,135,3.0
136,136,3.0
137,137,3.0
138,138,3.0
139,139,19.0
140,140,2.0
141,141,15.0
142,142,15.0
143,143,31.0
144,144,15.0
145,145,15.0
146,146,15.0
147,147,15.0
148,148,15.0
149,149,3.0
150,150,3.0
151,151,3.0
152,152,3.0
153,153,3.0
154,154,3.0
155,155,11.0
156,156,11.0
157,157,16.0
158,158,0.0
159,159,3.0
160,160,3.0
161,161,0.0
162,162,29.0
163,163,0.0
164,164,0.0
165,165,2.0
166,166,2.0
167,167,7.0
168,168,15.0
169,169,15.0
170,170,15.0
171,171,15.0
172,172,3.0
173,173,0.0
174,174,0.0
175,175,1.0
176,176,16.0
177,177,16.0
178,178,16.0
179,179,2.0
180,180,15.0
181,181,17.0
182,182,17.0
183,183,19.0
184,184,19.0
185,185,15.0
186,186,15.0
187,187,0.0
188,188,15.0
189,189,0.0
190,190,15.0
191,191,3.0
192,192,15.0
193,193,14.0
194,194,13.0
195,195,1.0
196,196,16.0
197,197,1.0
198,198,16.0
199,199,16.0
200,200,1.0
201,201,15.0
202,202,15.0
203,203,15.0
204,204,15.0
205,205,15.0
206,206,15.0
207,207,15.0
208,208,16.0
209,209,22.0
210,210,25.0
211,211,2.0
212,212,0.0
213,213,3.0
214,214,3.0
215,215,3.0
216,216,3.0
217,217,3.0
218,218,3.0
219,219,2.0
220,220,15.0
221,221,2.0
222,222,2.0
223,223,15.0
224,224,15.0
225,225,15.0
226,226,15.0
227,227,3.0
228,228,0.0
229,229,0.0
230,230,15.0
231,231,15.0
232,232,22.0
233,233,25.0
234,234,12.0
235,235,17.0
236,236,17.0
237,237,1.0
238,238,0.0
239,239,0.0
240,240,0.0
241,241,0.0
242,242,15.0
243,243,15.0
244,244,22.0
245,245,25.0
246,246,15.0
247,247,15.0
248,248,15.0
249,249,15.0
250,250,15.0
251,251,15.0
252,252,16.0
253,253,2.0
254,254,17.0
255,255,17.0
256,256,38.0
257,257,33.0
258,258,14.0
259,259,15.0
260,260,32.0
261,261,31.0
262,262,0.0
263,263,3.0
264,264,13.0
265,265,16.0
266,266,32.0
267,267,14.0
268,268,0.0
269,269,15.0
270,270,0.0
271,271,3.0
272,272,16.0
273,273,3.0
274,274,1.0
275,275,32.0
276,276,0.0
277,277,0.0
278,278,33.0
279,279,32.0
280,280,31.0
281,281,33.0
282,282,31.0
283,283,2.0
284,284,17.0
285,285,17.0
286,286,24.0
287,287,25.0
288,288,15.0
289,289,19.0
290,290,70.0
291,291,15.0
292,292,15.0
293,293,1.0
294,294,16.0
295,295,16.0
296,296,15.0
297,297,1.0
298,298,16.0
299,299,16.0
300,300,15.0
301,301,15.0
302,302,22.0
303,303,24.0
304,304,25.0
305,305,25.0
306,306,23.0
307,307,70.0
308,308,15.0
309,309,2.0
310,310,17.0
311,311,17.0
312,312,15.0
313,313,15.0
314,314,23.0
315,315,23.0
316,316,17.0
317,317,68.0
318,318,2.0
319,319,17.0
320,320,17.0
321,321,24.0
322,322,25.0
323,323,25.0
324,324,2.0
325,325,17.0
326,326,17.0
327,327,2.0
328,328,17.0
329,329,17.0
330,330,3.0
331,331,18.0
332,332,18.0
333,333,1.0
334,334,16.0
335,335,16.0
336,336,41.0
337,337,39.0
338,338,39.0
339,339,39.0
340,340,37.0
341,341,12.0
342,342,15.0
343,343,18.0
344,344,20.0
345,345,23.0
346,346,19.0
347,347,2.0
348,348,17.0
349,349,21.0
350,350,11.0
351,351,2.0
352,352,17.0
353,353,2.0
354,354,17.0
355,355,15.0
356,356,20.0
357,357,23.0
358,358,19.0
359,359,20.0
360,360,23.0
361,361,19.0
362,362,20.0
