Id,Label,Score
0,0,0.02273
1,1,0.0
2,2,0.03247
3,3,0.0
4,4,0.00325
5,5,0.02273
6,6,0.0
7,7,0.00325
8,8,0.08117
9,9,0.00325
10,10,0.00649
11,11,0.07792
12,12,0.0
13,13,0.00325
14,14,0.08117
15,15,0.00325
16,16,0.00649
17,17,0.07143
18,18,0.0
19,19,0.05519
20,20,0.05844
21,21,0.0
22,22,0.05195
23,23,0.04221
24,24,0.0
25,25,0.02922
26,26,0.00974
27,27,0.00974
28,28,0.00974
29,29,0.00649
30,30,0.00974
31,31,0.00974
32,32,0.00974
33,33,0.00974
34,34,0.00325
35,35,0.07468
36,36,0.09091
37,37,0.01299
38,38,0.08766
39,39,0.0
40,40,0.03896
41,41,0.00649
42,42,0.07143
43,43,0.07143
44,44,0.06169
45,45,0.05844
46,46,0.00325
47,47,0.06818
48,48,0.05844
49,49,0.07468
50,50,0.00649
51,51,0.0
52,52,0.05519
53,53,0.05844
54,54,0.08117
55,55,0.0
56,56,0.08442
57,57,0.0
58,58,0.01623
59,59,0.0
60,60,0.10065
61,61,0.05519
62,62,0.03896
63,63,0.02922
64,64,0.02922
65,65,0.02597
66,66,0.02273
67,67,0.02273
68,68,0.0
69,69,0.02597
70,70,0.05844
71,71,0.05844
72,72,0.05844
73,73,0.05844
74,74,0.05844
75,75,0.00649
76,76,0.05844
77,77,0.06818
78,78,0.06818
79,79,0.05844
80,80,0.05844
81,81,0.05195
82,82,0.06169
83,83,0.08442
84,84,0.05844
85,85,0.05844
86,86,0.06169
87,87,0.06169
88,88,0.02922
89,89,0.05844
90,90,0.0974
91,91,0.11364
92,92,0.00974
93,93,0.00325
94,94,0.05844
95,95,0.05844
96,96,0.00325
97,97,0.00325
98,98,0.0
99,99,0.0
100,100,0.00974
101,101,0.00649
102,102,0.01948
103,103,0.01299
104,104,0.00325
105,105,0.0
106,106,0.02597
107,107,0.02273
108,108,0.01948
109,109,0.03247
110,110,0.0
111,111,0.02597
112,112,0.0
113,113,0.0
114,114,0.00325
115,115,0.0
116,116,0.03247
117,117,0.0
118,118,0.00649
119,119,0.00325
120,120,0.0
121,121,0.02597
122,122,0.01623
123,123,0.00325
124,124,0.00974
125,125,0.00325
126,126,0.0
127,127,0.0
128,128,0.01948
129,129,0.01948
130,130,0.00325
131,131,0.03571
132,132,0.01623
133,133,0.00649
134,134,0.01623
135,135,0.01948
136,136,0.01948
137,137,0.00649
138,138,0.02922
139,139,0.00974
140,140,0.01299
141,141,0.01623
142,142,0.01948
143,143,0.01948
144,144,0.02273
145,145,0.01299
146,146,0.00974
147,147,0.02273
148,148,0.02597
149,149,0.02597
150,150,0.00325
151,151,0.0
152,152,0.01623
153,153,0.0
154,154,0.01299
155,155,0.0
156,156,0.00649
157,157,0.01948
158,158,0.0
159,159,0.01623
160,160,0.0
161,161,0.0
162,162,0.03896
163,163,0.00325
164,164,0.01948
165,165,0.01623
166,166,0.01623
167,167,0.00649
168,168,0.0
169,169,0.00325
170,170,0.0
171,171,0.0
172,172,0.01948
173,173,0.02597
174,174,0.00649
175,175,0.02922
176,176,0.01948
177,177,0.01299
178,178,0.0
179,179,0.0
180,180,0.1039
181,181,0.17532
182,182,0.00649
183,183,0.08442
184,184,0.05195
185,185,0.15909
186,186,0.0
187,187,0.0
188,188,0.03247
189,189,0.01299
190,190,0.16234
191,191,0.11688
192,192,0.03247
193,193,0.03247
194,194,0.03571
195,195,0.04545
196,196,0.04545
197,197,0.04545
198,198,0.04545
199,199,0.04545
200,200,0.04545
201,201,0.0
202,202,0.04221
203,203,0.0
204,204,0.04221
205,205,0.03571
206,206,0.0
207,207,0.03896
208,208,0.0
209,209,0.03571
210,210,0.06818
211,211,0.00325
212,212,0.0
213,213,0.03571
214,214,0.03571
215,215,0.00325
216,216,0.0
217,217,0.0
218,218,0.03571
219,219,0.00325
220,220,0.0
221,221,0.0
222,222,0.0
223,223,0.16234
224,224,0.05844
225,225,0.03571
226,226,0.00325
227,227,0.0
228,228,0.0
229,229,0.04221
230,230,0.0
231,231,0.0
232,232,0.00325
233,233,0.00974
234,234,0.00325
235,235,0.01299
236,236,0.01948
237,237,0.01623
238,238,0.00325
239,239,0.07468
240,240,0.00974
241,241,0.07792
242,242,0.07792
243,243,0.04221
244,244,0.14935
245,245,0.05844
246,246,0.0
247,247,0.07792
248,248,0.07468
249,249,0.06169
250,250,0.1526
251,251,0.0
252,252,0.0
253,253,0.00325
254,254,0.0
255,255,0.01948
256,256,0.02273
257,257,0.00974
258,258,0.0
259,259,0.0
260,260,0.02273
261,261,0.00325
262,262,0.02273
263,263,0.05844
264,264,0.0
265,265,0.00325
266,266,0.0
267,267,0.00325
268,268,0.0
269,269,0.0
270,270,0.0
271,271,0.00649
272,272,0.00325
273,273,0.0
274,274,0.0
275,275,0.00974
276,276,0.00325
277,277,0.0
278,278,0.0
279,279,0.0
280,280,0.00325
281,281,0.0
282,282,0.00325
283,283,0.0
284,284,0.01299
285,285,0.00649
286,286,0.00325
287,287,0.00325
288,288,0.0
289,289,0.0
290,290,0.00649
291,291,0.00649
292,292,0.00325
293,293,0.0
294,294,0.0
295,295,0.0
296,296,0.0
297,297,0.0
298,298,0.0
299,299,0.0
300,300,0.0
301,301,0.0
302,302,0.0
303,303,0.0
304,304,0.0
305,305,0.0
306,306,0.0
307,307,0.00325
308,308,0.0
