Id,Label,Score
0,0,5.0
1,1,4.0
2,2,5.0
3,3,4.0
4,4,4.0
5,5,0.0
6,6,4.0
7,7,5.0
8,8,0.0
9,9,2.0
10,10,6.0
11,11,0.0
12,12,0.0
13,13,5.0
14,14,7.0
15,15,1.0
16,16,0.0
17,17,5.0
18,18,6.0
19,19,5.0
20,20,5.0
21,21,6.0
22,22,4.0
23,23,2.0
24,24,0.0
25,25,0.0
26,26,7.0
27,27,0.0
28,28,9.0
29,29,9.0
30,30,9.0
31,31,8.0
32,32,0.0
33,33,3.0
34,34,8.0
35,35,5.0
36,36,0.0
37,37,6.0
38,38,8.0
39,39,1.0
40,40,6.0
41,41,1.0
42,42,0.0
43,43,8.0
44,44,7.0
45,45,1.0
46,46,0.0
47,47,7.0
48,48,0.0
49,49,5.0
50,50,7.0
51,51,1.0
52,52,0.0
53,53,8.0
54,54,4.0
55,55,6.0
56,56,0.0
57,57,8.0
58,58,6.0
59,59,7.0
60,60,1.0
61,61,8.0
62,62,0.0
63,63,8.0
64,64,6.0
65,65,7.0
66,66,0.0
67,67,0.0
68,68,0.0
69,69,2.0
70,70,5.0
71,71,0.0
72,72,7.0
73,73,0.0
74,74,5.0
75,75,8.0
76,76,1.0
77,77,0.0
78,78,4.0
79,79,6.0
80,80,0.0
81,81,10.0
82,82,1.0
83,83,1.0
84,84,0.0
85,85,11.0
86,86,0.0
87,87,0.0
88,88,1.0
89,89,6.0
90,90,0.0
91,91,1.0
92,92,4.0
93,93,4.0
94,94,5.0
95,95,4.0
96,96,5.0
97,97,5.0
98,98,6.0
99,99,0.0
100,100,0.0
101,101,0.0
102,102,5.0
103,103,3.0
104,104,4.0
105,105,0.0
106,106,8.0
107,107,9.0
108,108,0.0
109,109,6.0
110,110,7.0
111,111,7.0
112,112,6.0
113,113,0.0
114,114,5.0
115,115,1.0
116,116,0.0
117,117,0.0
118,118,1.0
119,119,3.0
120,120,5.0
121,121,0.0
122,122,1.0
123,123,2.0
124,124,5.0
125,125,0.0
126,126,0.0
127,127,7.0
128,128,1.0
129,129,0.0
130,130,3.0
131,131,6.0
132,132,6.0
133,133,4.0
134,134,0.0
135,135,5.0
136,136,4.0
137,137,5.0
138,138,5.0
139,139,5.0
140,140,0.0
141,141,0.0
142,142,0.0
143,143,0.0
144,144,0.0
145,145,1.0
146,146,0.0
147,147,0.0
148,148,0.0
149,149,0.0
150,150,0.0
151,151,1.0
152,152,1.0
153,153,0.0
154,154,0.0
155,155,0.0
156,156,0.0
157,157,4.0
158,158,5.0
159,159,8.0
160,160,8.0
161,161,7.0
162,162,4.0
163,163,9.0
164,164,5.0
165,165,7.0
166,166,5.0
167,167,8.0
168,168,5.0
169,169,5.0
170,170,3.0
171,171,4.0
172,172,1.0
