Id,Label,Score
0,0,0.0
1,1,0.00288
2,2,0.00288
3,3,0.00288
4,4,0.00259
5,5,0.00231
6,6,0.00317
7,7,0.02968
8,8,0.0
9,9,2.9E-4
10,10,0.00115
11,11,0.00231
12,12,0.00202
13,13,8.6E-4
14,14,0.00173
15,15,2.9E-4
16,16,0.00202
17,17,0.0
18,18,0.02968
19,19,0.0
20,20,0.00231
21,21,5.8E-4
22,22,5.8E-4
23,23,0.00461
24,24,0.00317
25,25,0.00115
26,26,2.9E-4
27,27,0.00231
28,28,0.00259
29,29,0.00231
30,30,0.00317
31,31,0.00231
32,32,0.00317
33,33,0.0
34,34,0.00375
35,35,0.00375
36,36,0.0
37,37,0.00202
38,38,0.00231
39,39,0.00202
40,40,0.00115
41,41,2.9E-4
42,42,0.00173
43,43,0.00403
44,44,0.00115
45,45,0.00202
46,46,0.00173
47,47,0.00288
48,48,0.0
49,49,2.9E-4
50,50,5.8E-4
51,51,0.00202
52,52,0.00202
53,53,0.00231
54,54,0.00317
55,55,0.00403
56,56,0.0
57,57,0.00317
58,58,0.00403
59,59,0.00231
60,60,0.00375
61,61,0.0
62,62,0.00231
63,63,0.00346
64,64,0.0
65,65,0.00403
66,66,0.0
67,67,0.00231
68,68,0.00288
69,69,0.0
70,70,0.00403
71,71,0.0
72,72,0.00231
73,73,0.00346
74,74,0.0
75,75,0.00403
76,76,0.0
77,77,2.9E-4
78,78,5.8E-4
79,79,2.9E-4
80,80,0.00173
81,81,8.6E-4
82,82,0.00173
83,83,0.0
84,84,0.0
85,85,2.9E-4
86,86,0.00403
87,87,0.0
88,88,0.00231
89,89,0.00288
90,90,0.00231
91,91,0.00346
92,92,0.00231
93,93,0.00317
94,94,0.00317
95,95,0.00231
96,96,0.00346
97,97,0.00231
98,98,0.00346
99,99,0.0
100,100,0.0
101,101,0.00231
102,102,0.00375
103,103,0.0
104,104,0.00317
105,105,0.00317
106,106,0.0
107,107,2.9E-4
108,108,0.00231
109,109,0.0
110,110,0.0
111,111,8.6E-4
112,112,2.9E-4
113,113,0.0
114,114,0.0
115,115,2.9E-4
116,116,0.0
117,117,2.9E-4
118,118,0.0
119,119,2.9E-4
120,120,0.00288
121,121,0.00432
122,122,0.00317
123,123,0.00461
124,124,0.00231
125,125,0.00259
126,126,0.00317
127,127,0.00346
128,128,0.00432
129,129,0.00576
130,130,0.0
131,131,0.0
132,132,0.0
133,133,0.0
134,134,8.6E-4
135,135,0.0
136,136,2.9E-4
137,137,0.0
138,138,2.9E-4
139,139,5.8E-4
140,140,0.00317
141,141,0.00231
142,142,0.00346
143,143,0.00288
144,144,0.00375
145,145,0.00259
146,146,0.00375
147,147,0.00317
148,148,0.00432
149,149,0.00346
150,150,0.00403
151,151,0.00317
152,152,0.00375
153,153,0.00259
154,154,0.00346
155,155,0.00346
156,156,0.00288
157,157,0.00375
158,158,0.00403
159,159,0.0
160,160,0.00231
161,161,0.00288
162,162,0.0
163,163,0.00403
164,164,0.0
165,165,0.00403
166,166,0.0
167,167,0.00231
168,168,0.00288
169,169,0.0
170,170,0.00231
171,171,0.00288
172,172,0.0
173,173,0.00231
174,174,0.00317
