Id,Label,Score
0,0,0.00565
1,1,0.00989
2,2,0.00471
3,3,0.00518
4,4,0.00565
5,5,0.0033
6,6,0.00565
7,7,0.00754
8,8,0.01083
9,9,0.0
10,10,0.00565
11,11,0.0
12,12,4.7E-4
13,13,4.7E-4
14,14,4.7E-4
15,15,4.7E-4
16,16,0.00377
17,17,0.00424
18,18,0.00471
19,19,0.00518
20,20,0.00424
21,21,0.00471
22,22,0.00471
23,23,0.0
24,24,0.00848
25,25,0.00848
26,26,0.00424
27,27,0.00471
28,28,0.0
29,29,0.00895
30,30,0.00518
31,31,0.00518
32,32,0.00471
33,33,0.00659
34,34,0.01083
35,35,0.0
36,36,0.00424
37,37,0.0
38,38,0.00283
39,39,0.00518
40,40,0.00754
41,41,0.00754
42,42,0.00424
43,43,0.00424
44,44,0.00565
45,45,0.00471
46,46,0.00707
47,47,4.7E-4
48,48,0.00659
49,49,0.0
50,50,0.0
51,51,0.0
52,52,0.0
53,53,0.0
54,54,0.00141
55,55,4.7E-4
56,56,4.7E-4
57,57,4.7E-4
58,58,0.00518
59,59,0.00565
60,60,0.0
61,61,0.00659
62,62,0.00565
63,63,0.00424
64,64,0.00801
65,65,0.00848
66,66,0.00895
67,67,0.00848
68,68,0.00801
69,69,0.00659
70,70,0.00848
71,71,0.00801
72,72,0.00895
73,73,0.00848
74,74,0.00942
75,75,0.00942
76,76,0.0
77,77,0.00659
78,78,0.00801
79,79,0.00801
80,80,0.00659
81,81,0.00895
82,82,0.00942
83,83,0.00754
84,84,0.00659
85,85,0.00659
86,86,0.0033
87,87,0.00377
88,88,0.00424
89,89,0.00801
90,90,0.00989
91,91,0.00659
92,92,0.00801
93,93,0.00989
94,94,0.00895
95,95,0.00848
96,96,0.0
97,97,0.00754
98,98,0.00848
99,99,0.00942
100,100,0.00989
101,101,0.0
102,102,0.0
103,103,0.0
104,104,0.00895
105,105,0.00659
106,106,0.00612
107,107,0.00707
108,108,0.00942
109,109,0.00848
110,110,0.00848
111,111,0.00801
112,112,0.00659
113,113,0.00612
114,114,0.00471
115,115,0.00989
116,116,0.00424
117,117,0.00707
118,118,0.00283
119,119,0.00659
120,120,0.00707
121,121,0.00801
122,122,0.00754
123,123,0.00754
124,124,0.00659
125,125,0.0
126,126,0.00424
127,127,0.00942
128,128,0.00942
129,129,0.01225
130,130,0.01036
131,131,0.00895
132,132,0.00942
133,133,0.00989
134,134,0.00848
135,135,0.00895
136,136,0.00895
137,137,0.00989
138,138,0.00848
139,139,0.00989
140,140,0.00848
141,141,0.0033
142,142,0.0033
143,143,0.00283
144,144,0.00518
145,145,0.01272
146,146,0.01366
147,147,0.01319
148,148,4.7E-4
149,149,4.7E-4
150,150,4.7E-4
151,151,4.7E-4
152,152,4.7E-4
153,153,4.7E-4
154,154,0.01413
155,155,4.7E-4
156,156,4.7E-4
157,157,4.7E-4
158,158,9.4E-4
159,159,4.7E-4
160,160,4.7E-4
161,161,4.7E-4
162,162,0.0
163,163,4.7E-4
164,164,0.0146
165,165,0.0146
166,166,0.0146
167,167,0.0146
168,168,0.0146
169,169,0.0146
170,170,0.0146
171,171,0.0146
172,172,9.4E-4
173,173,0.0
174,174,0.0
175,175,0.0
176,176,0.0
177,177,0.0
178,178,0.0
179,179,0.00188
180,180,0.00188
181,181,0.00188
182,182,0.0
183,183,0.0
184,184,0.00188
185,185,0.00188
186,186,0.00188
187,187,0.00188
188,188,0.00188
189,189,0.00188
190,190,0.00188
191,191,0.00236
192,192,0.00188
193,193,0.00188
194,194,0.00188
195,195,0.00188
196,196,0.0
197,197,0.0
198,198,0.0
199,199,0.00188
200,200,0.0
201,201,0.0
202,202,0.00188
203,203,0.00188
204,204,0.0
205,205,0.0
206,206,0.0
207,207,0.00188
208,208,0.0
209,209,0.0
210,210,0.0
211,211,0.0
212,212,0.00188
213,213,0.00188
214,214,0.00188
215,215,0.00188
216,216,0.00236
217,217,0.00236
218,218,0.00188
219,219,0.00188
220,220,0.00236
221,221,0.00188
222,222,0.00188
223,223,0.00188
224,224,0.00188
225,225,0.00188
226,226,0.00188
227,227,0.00188
228,228,0.00188
229,229,0.00188
230,230,0.00141
231,231,0.00283
232,232,0.0
233,233,0.0
234,234,0.0
235,235,0.0
236,236,0.0
237,237,0.0
238,238,0.0
239,239,0.0
240,240,0.0
241,241,0.0
242,242,0.0
243,243,0.00141
244,244,0.00141
245,245,0.00283
246,246,0.01366
247,247,9.4E-4
248,248,4.7E-4
249,249,0.00283
250,250,4.7E-4
251,251,0.01319
252,252,0.00471
253,253,0.00659
254,254,0.00707
255,255,0.01272
256,256,0.01272
257,257,0.0033
258,258,0.01413
259,259,0.0146
260,260,0.01507
261,261,0.01272
