Id,Label,Score
0,0,0.18344
1,1,0.13509
2,2,0.0
3,3,0.13599
4,4,0.13478
5,5,0.123
6,6,0.13448
7,7,0.01541
8,8,9.1E-4
9,9,0.00242
10,10,9.1E-4
11,11,6.0E-4
12,12,6.0E-4
13,13,0.01632
14,14,0.13478
15,15,0.13448
16,16,0.0
17,17,0.13448
18,18,0.13448
19,19,0.13478
20,20,0.13448
21,21,0.0
22,22,0.13539
23,23,3.0E-4
24,24,0.13509
25,25,0.00272
26,26,0.13448
27,27,0.0
28,28,0.00816
29,29,0.00786
30,30,0.0
31,31,0.00907
32,32,0.00756
33,33,0.00725
34,34,0.0
35,35,0.0
36,36,0.00997
37,37,0.0
38,38,0.0
39,39,6.0E-4
40,40,0.0
41,41,0.0
42,42,3.0E-4
43,43,0.0
44,44,0.0
45,45,0.0
46,46,0.0
47,47,0.0
48,48,0.0
49,49,0.0
50,50,0.0
51,51,0.0
52,52,0.0
53,53,0.0
54,54,0.0
55,55,0.0
56,56,0.0
57,57,0.0
58,58,0.0
59,59,0.0
60,60,0.0
61,61,3.0E-4
62,62,0.0
63,63,0.0
64,64,6.0E-4
65,65,0.0
66,66,0.0
67,67,9.1E-4
68,68,0.0
69,69,9.1E-4
70,70,6.0E-4
71,71,3.0E-4
72,72,6.0E-4
73,73,0.0
74,74,0.0
75,75,0.0
76,76,0.0
77,77,0.00151
78,78,0.0
79,79,0.0
80,80,0.0
81,81,3.0E-4
82,82,0.0
83,83,0.00181
84,84,0.0
85,85,0.0
86,86,0.0
87,87,0.0
88,88,0.0
89,89,0.0
90,90,0.0
91,91,0.0
92,92,0.0
93,93,0.0
94,94,0.0
95,95,0.0
96,96,0.0
97,97,0.00242
98,98,0.0
99,99,0.0
100,100,0.0
101,101,0.0
102,102,0.0
103,103,0.0
104,104,0.0
105,105,0.0
106,106,0.0
107,107,0.0
108,108,0.0
109,109,0.0
110,110,0.0
111,111,0.0
112,112,3.0E-4
113,113,0.0
114,114,0.0
115,115,0.0
116,116,0.0
117,117,0.0
118,118,0.0
119,119,0.0
120,120,6.0E-4
121,121,0.0
122,122,0.0
123,123,0.0
124,124,0.0
125,125,0.0
126,126,0.0
127,127,9.1E-4
128,128,0.0
129,129,0.0
130,130,0.0
131,131,0.0
132,132,0.0
133,133,0.0
134,134,6.0E-4
135,135,0.0
136,136,0.0
137,137,0.0
138,138,0.0
139,139,3.0E-4
140,140,0.00151
141,141,0.00393
142,142,0.00423
143,143,0.0
144,144,0.0
145,145,0.0
146,146,0.0
147,147,0.0
148,148,0.0
149,149,0.0
150,150,0.0
151,151,0.0
152,152,9.1E-4
153,153,0.0
154,154,0.0
155,155,0.0
156,156,0.0
157,157,0.00121
158,158,6.0E-4
159,159,0.0
160,160,0.00151
161,161,0.00846
162,162,0.0
163,163,0.0
164,164,0.0
165,165,0.0
166,166,0.0
167,167,0.0
168,168,0.00242
169,169,6.0E-4
170,170,0.0
171,171,9.1E-4
172,172,9.1E-4
173,173,9.1E-4
174,174,9.1E-4
175,175,9.1E-4
176,176,0.0
177,177,0.0
178,178,0.0
179,179,0.00272
180,180,0.0
181,181,0.0
182,182,0.00302
183,183,0.00453
184,184,0.0
185,185,0.0
186,186,0.0
187,187,0.0
188,188,0.0
189,189,3.0E-4
190,190,0.0
191,191,0.0
192,192,0.0
193,193,0.0
194,194,0.0
195,195,0.0
196,196,0.0
197,197,0.0
198,198,0.0
199,199,0.0
200,200,0.0
201,201,0.00363
202,202,0.0
203,203,0.0
204,204,0.00121
205,205,0.00242
206,206,0.0
207,207,0.00121
208,208,0.0
209,209,0.0
210,210,0.00393
211,211,0.00484
