Source,Target,Type
3,4,Directed
3,6,Directed
6,5,Directed
7,0,Directed
7,2,Directed
7,3,Directed
9,7,Directed
9,0,Directed
9,51,Directed
9,2,Directed
9,3,Directed
10,0,Directed
11,101,Directed
12,101,Directed
13,7,Directed
13,0,Directed
13,51,Directed
13,2,Directed
13,3,Directed
14,0,Directed
14,13,Directed
14,18,Directed
15,6,Directed
15,5,Directed
19,7,Directed
19,0,Directed
19,51,Directed
19,2,Directed
19,3,Directed
20,101,Directed
21,101,Directed
22,0,Directed
23,7,Directed
23,25,Directed
23,0,Directed
23,51,Directed
23,2,Directed
23,3,Directed
24,25,Directed
26,0,Directed
26,25,Directed
27,51,Directed
27,191,Directed
27,53,Directed
27,54,Directed
27,52,Directed
27,79,Directed
30,6,Directed
30,5,Directed
34,27,Directed
35,27,Directed
35,4,Directed
40,55,Directed
51,53,Directed
51,54,Directed
52,4,Directed
53,8,Directed
53,7,Directed
53,4,Directed
54,8,Directed
54,7,Directed
54,52,Directed
54,55,Directed
56,46,Directed
57,98,Directed
57,120,Directed
57,181,Directed
57,121,Directed
57,99,Directed
57,59,Directed
60,84,Directed
60,94,Directed
60,66,Directed
60,57,Directed
60,90,Directed
60,85,Directed
62,64,Directed
65,64,Directed
66,73,Directed
66,57,Directed
66,72,Directed
67,66,Directed
67,73,Directed
67,57,Directed
67,72,Directed
68,66,Directed
68,73,Directed
68,57,Directed
68,72,Directed
69,66,Directed
69,73,Directed
69,57,Directed
69,72,Directed
70,66,Directed
70,73,Directed
70,57,Directed
70,72,Directed
71,66,Directed
71,73,Directed
71,57,Directed
71,72,Directed
73,57,Directed
73,74,Directed
76,90,Directed
79,57,Directed
79,120,Directed
79,99,Directed
79,80,Directed
79,81,Directed
79,129,Directed
79,125,Directed
79,181,Directed
79,66,Directed
79,121,Directed
79,59,Directed
82,125,Directed
82,92,Directed
83,92,Directed
84,66,Directed
84,57,Directed
84,90,Directed
84,85,Directed
86,88,Directed
86,57,Directed
86,180,Directed
86,66,Directed
89,79,Directed
89,120,Directed
89,100,Directed
89,99,Directed
89,80,Directed
89,81,Directed
89,129,Directed
89,125,Directed
89,181,Directed
89,66,Directed
89,121,Directed
89,59,Directed
90,57,Directed
90,120,Directed
90,181,Directed
90,66,Directed
90,121,Directed
90,99,Directed
90,59,Directed
94,93,Directed
95,98,Directed
98,99,Directed
101,91,Directed
103,120,Directed
103,65,Directed
103,64,Directed
103,104,Directed
105,120,Directed
106,120,Directed
109,65,Directed
109,64,Directed
112,109,Directed
112,120,Directed
112,64,Directed
113,120,Directed
113,65,Directed
113,64,Directed
114,65,Directed
114,64,Directed
118,114,Directed
118,120,Directed
118,64,Directed
119,120,Directed
122,121,Directed
122,79,Directed
124,121,Directed
125,92,Directed
126,127,Directed
126,84,Directed
126,89,Directed
126,183,Directed
126,128,Directed
127,183,Directed
127,128,Directed
129,127,Directed
130,127,Directed
130,133,Directed
131,127,Directed
132,127,Directed
133,131,Directed
134,179,Directed
141,180,Directed
144,181,Directed
145,64,Directed
147,64,Directed
150,92,Directed
153,144,Directed
155,165,Directed
158,84,Directed
161,144,Directed
162,57,Directed
165,183,Directed
166,133,Directed
166,131,Directed
168,133,Directed
168,131,Directed
172,185,Directed
174,73,Directed
174,57,Directed
174,74,Directed
175,174,Directed
175,57,Directed
175,74,Directed
176,73,Directed
176,57,Directed
176,74,Directed
177,73,Directed
177,57,Directed
177,74,Directed
178,73,Directed
178,57,Directed
178,74,Directed
182,99,Directed
182,185,Directed
184,120,Directed
186,191,Directed
186,189,Directed
190,186,Directed
191,79,Directed
192,120,Directed
192,242,Directed
192,310,Directed
192,240,Directed
192,99,Directed
193,192,Directed
193,120,Directed
193,310,Directed
193,242,Directed
193,240,Directed
193,99,Directed
194,313,Directed
194,211,Directed
194,213,Directed
194,120,Directed
194,205,Directed
194,99,Directed
194,198,Directed
195,192,Directed
195,120,Directed
195,57,Directed
195,212,Directed
195,90,Directed
195,196,Directed
195,197,Directed
195,310,Directed
195,242,Directed
195,240,Directed
195,99,Directed
196,126,Directed
197,98,Directed
197,120,Directed
197,311,Directed
197,78,Directed
197,99,Directed
202,386,Directed
202,383,Directed
203,198,Directed
205,208,Directed
205,207,Directed
206,120,Directed
206,80,Directed
207,206,Directed
207,120,Directed
207,80,Directed
208,206,Directed
208,120,Directed
208,80,Directed
208,209,Directed
210,206,Directed
210,120,Directed
210,80,Directed
210,129,Directed
213,192,Directed
213,211,Directed
213,241,Directed
214,240,Directed
215,241,Directed
215,192,Directed
216,193,Directed
216,195,Directed
218,214,Directed
219,214,Directed
219,302,Directed
220,214,Directed
220,302,Directed
221,218,Directed
221,298,Directed
222,227,Directed
222,212,Directed
223,218,Directed
223,298,Directed
224,227,Directed
224,212,Directed
225,218,Directed
225,298,Directed
226,227,Directed
226,212,Directed
227,212,Directed
228,218,Directed
228,298,Directed
229,227,Directed
229,212,Directed
230,218,Directed
230,298,Directed
231,227,Directed
231,212,Directed
232,218,Directed
232,298,Directed
233,227,Directed
233,212,Directed
234,218,Directed
234,298,Directed
235,227,Directed
235,212,Directed
237,215,Directed
237,213,Directed
237,192,Directed
238,215,Directed
238,213,Directed
238,192,Directed
239,214,Directed
239,242,Directed
241,192,Directed
242,244,Directed
243,244,Directed
245,243,Directed
246,301,Directed
246,300,Directed
248,243,Directed
251,310,Directed
258,127,Directed
258,183,Directed
258,128,Directed
260,129,Directed
260,127,Directed
260,79,Directed
262,311,Directed
266,312,Directed
271,128,Directed
272,133,Directed
272,131,Directed
274,79,Directed
274,120,Directed
274,99,Directed
274,80,Directed
274,81,Directed
274,129,Directed
274,125,Directed
274,181,Directed
274,66,Directed
274,121,Directed
274,59,Directed
275,86,Directed
275,88,Directed
275,57,Directed
275,180,Directed
275,66,Directed
278,313,Directed
278,211,Directed
286,133,Directed
286,131,Directed
289,191,Directed
289,79,Directed
