Source,Target,Type
7,65,Directed
8,7,Directed
8,65,Directed
9,7,Directed
9,65,Directed
10,7,Directed
10,65,Directed
11,7,Directed
11,65,Directed
12,7,Directed
12,65,Directed
13,7,Directed
13,65,Directed
14,7,Directed
14,65,Directed
15,7,Directed
15,65,Directed
16,7,Directed
16,65,Directed
17,7,Directed
17,65,Directed
18,7,Directed
18,65,Directed
19,7,Directed
19,65,Directed
20,7,Directed
20,65,Directed
21,7,Directed
21,65,Directed
22,7,Directed
22,65,Directed
23,7,Directed
23,65,Directed
25,7,Directed
25,65,Directed
29,28,Directed
31,28,Directed
32,31,Directed
33,31,Directed
34,31,Directed
35,36,Directed
38,40,Directed
39,40,Directed
41,40,Directed
42,36,Directed
43,36,Directed
45,44,Directed
45,65,Directed
47,44,Directed
48,44,Directed
49,44,Directed
50,44,Directed
51,44,Directed
52,44,Directed
53,44,Directed
54,58,Directed
55,54,Directed
55,58,Directed
56,54,Directed
56,58,Directed
59,61,Directed
66,65,Directed
66,44,Directed
68,65,Directed
69,65,Directed
70,65,Directed
71,65,Directed
72,65,Directed
73,65,Directed
74,65,Directed
75,65,Directed
76,75,Directed
77,75,Directed
78,75,Directed
79,75,Directed
80,65,Directed
81,82,Directed
83,7,Directed
84,97,Directed
84,96,Directed
84,83,Directed
85,96,Directed
86,97,Directed
86,96,Directed
86,83,Directed
87,96,Directed
88,97,Directed
88,96,Directed
88,83,Directed
89,96,Directed
90,97,Directed
90,96,Directed
90,83,Directed
91,96,Directed
96,94,Directed
97,83,Directed
100,99,Directed
100,44,Directed
101,99,Directed
102,99,Directed
103,99,Directed
104,99,Directed
105,99,Directed
111,281,Directed
111,166,Directed
113,287,Directed
115,282,Directed
116,111,Directed
116,166,Directed
117,287,Directed
119,287,Directed
121,703,Directed
122,702,Directed
125,135,Directed
125,441,Directed
125,519,Directed
125,553,Directed
126,161,Directed
129,554,Directed
130,560,Directed
131,287,Directed
135,519,Directed
135,553,Directed
142,140,Directed
145,560,Directed
145,135,Directed
146,554,Directed
148,161,Directed
150,157,Directed
151,137,Directed
152,143,Directed
157,155,Directed
158,156,Directed
158,157,Directed
159,155,Directed
160,155,Directed
161,553,Directed
162,135,Directed
162,599,Directed
162,519,Directed
162,553,Directed
163,162,Directed
163,627,Directed
163,519,Directed
163,553,Directed
164,125,Directed
164,519,Directed
164,553,Directed
165,180,Directed
167,576,Directed
167,44,Directed
167,325,Directed
169,44,Directed
169,65,Directed
170,44,Directed
172,65,Directed
173,65,Directed
175,576,Directed
175,44,Directed
175,325,Directed
177,176,Directed
178,176,Directed
179,576,Directed
179,44,Directed
179,325,Directed
181,201,Directed
181,486,Directed
181,229,Directed
181,230,Directed
182,249,Directed
182,229,Directed
183,204,Directed
184,249,Directed
184,229,Directed
185,249,Directed
185,229,Directed
186,161,Directed
186,293,Directed
187,287,Directed
189,554,Directed
192,191,Directed
192,553,Directed
193,275,Directed
193,191,Directed
194,278,Directed
195,279,Directed
195,191,Directed
196,284,Directed
196,553,Directed
196,191,Directed
197,194,Directed
198,287,Directed
198,191,Directed
199,290,Directed
200,191,Directed
202,249,Directed
202,229,Directed
204,276,Directed
206,205,Directed
207,205,Directed
208,205,Directed
209,205,Directed
210,205,Directed
211,205,Directed
212,205,Directed
213,205,Directed
214,205,Directed
215,205,Directed
216,205,Directed
217,205,Directed
218,222,Directed
223,222,Directed
225,220,Directed
226,221,Directed
227,484,Directed
229,249,Directed
230,229,Directed
231,220,Directed
232,221,Directed
233,204,Directed
234,42,Directed
234,229,Directed
234,249,Directed
235,234,Directed
235,220,Directed
235,249,Directed
235,229,Directed
236,234,Directed
236,221,Directed
236,249,Directed
236,229,Directed
237,234,Directed
237,221,Directed
237,220,Directed
237,249,Directed
237,229,Directed
238,42,Directed
238,249,Directed
238,229,Directed
240,239,Directed
241,239,Directed
242,239,Directed
243,229,Directed
243,249,Directed
244,243,Directed
244,220,Directed
244,249,Directed
244,229,Directed
245,243,Directed
245,221,Directed
245,249,Directed
245,229,Directed
246,243,Directed
246,221,Directed
246,220,Directed
246,249,Directed
246,229,Directed
247,249,Directed
247,229,Directed
248,222,Directed
251,43,Directed
251,229,Directed
251,249,Directed
252,251,Directed
252,220,Directed
252,249,Directed
252,229,Directed
253,251,Directed
253,221,Directed
253,249,Directed
253,229,Directed
254,251,Directed
254,221,Directed
254,220,Directed
254,249,Directed
254,229,Directed
255,43,Directed
255,249,Directed
255,229,Directed
256,134,Directed
257,325,Directed
257,702,Directed
257,703,Directed
257,326,Directed
258,703,Directed
259,330,Directed
259,316,Directed
259,325,Directed
259,519,Directed
259,331,Directed
259,335,Directed
259,343,Directed
259,553,Directed
259,349,Directed
259,336,Directed
259,332,Directed
260,332,Directed
260,316,Directed
260,349,Directed
260,333,Directed
261,343,Directed
261,702,Directed
261,345,Directed
261,325,Directed
262,349,Directed
262,702,Directed
262,351,Directed
262,325,Directed
263,355,Directed
263,316,Directed
263,349,Directed
263,519,Directed
263,356,Directed
263,335,Directed
263,343,Directed
263,553,Directed
263,336,Directed
263,332,Directed
264,371,Directed
264,702,Directed
264,372,Directed
264,349,Directed
264,351,Directed
264,325,Directed
265,111,Directed
265,166,Directed
266,111,Directed
266,166,Directed
267,126,Directed
268,484,Directed
269,484,Directed
272,371,Directed
272,702,Directed
272,372,Directed
272,349,Directed
272,351,Directed
272,325,Directed
274,576,Directed
274,44,Directed
274,325,Directed
275,285,Directed
276,281,Directed
277,285,Directed
278,275,Directed
279,277,Directed
280,283,Directed
280,441,Directed
280,519,Directed
280,553,Directed
281,285,Directed
282,285,Directed
283,285,Directed
283,519,Directed
283,553,Directed
284,275,Directed
284,553,Directed
286,275,Directed
287,275,Directed
288,283,Directed
288,599,Directed
288,519,Directed
288,553,Directed
289,281,Directed
290,287,Directed
291,288,Directed
291,627,Directed
291,519,Directed
291,553,Directed
292,285,Directed
292,686,Directed
293,44,Directed
295,301,Directed
295,686,Directed
296,330,Directed
296,316,Directed
296,325,Directed
296,519,Directed
296,331,Directed
296,335,Directed
296,343,Directed
296,553,Directed
296,349,Directed
296,336,Directed
296,332,Directed
297,343,Directed
297,702,Directed
297,345,Directed
297,325,Directed
298,355,Directed
298,316,Directed
298,349,Directed
298,519,Directed
298,356,Directed
298,335,Directed
298,343,Directed
298,553,Directed
298,336,Directed
298,332,Directed
299,697,Directed
299,686,Directed
300,699,Directed
300,519,Directed
300,553,Directed
301,632,Directed
301,686,Directed
302,99,Directed
303,111,Directed
303,166,Directed
304,162,Directed
304,519,Directed
304,553,Directed
305,126,Directed
307,584,Directed
307,702,Directed
307,703,Directed
307,325,Directed
307,326,Directed
309,332,Directed
309,166,Directed
309,349,Directed
309,316,Directed
309,310,Directed
309,333,Directed
310,333,Directed
310,332,Directed
311,309,Directed
311,316,Directed
311,166,Directed
311,349,Directed
311,310,Directed
311,332,Directed
311,333,Directed
312,334,Directed
313,281,Directed
313,168,Directed
313,315,Directed
316,702,Directed
316,325,Directed
318,316,Directed
318,702,Directed
318,325,Directed
319,316,Directed
320,316,Directed
320,702,Directed
320,325,Directed
322,134,Directed
323,349,Directed
323,702,Directed
323,351,Directed
323,325,Directed
325,702,Directed
325,703,Directed
326,319,Directed
326,325,Directed
326,316,Directed
327,325,Directed
327,703,Directed
327,702,Directed
327,326,Directed
328,703,Directed
330,335,Directed
330,441,Directed
330,316,Directed
330,325,Directed
330,519,Directed
330,331,Directed
330,343,Directed
330,553,Directed
330,349,Directed
330,336,Directed
330,332,Directed
331,336,Directed
331,519,Directed
331,335,Directed
332,316,Directed
332,349,Directed
332,333,Directed
335,519,Directed
335,316,Directed
335,343,Directed
335,553,Directed
335,349,Directed
335,336,Directed
335,332,Directed
336,519,Directed
337,135,Directed
337,519,Directed
337,553,Directed
338,316,Directed
338,702,Directed
338,325,Directed
339,702,Directed
341,316,Directed
341,702,Directed
341,325,Directed
342,702,Directed
343,316,Directed
343,553,Directed
343,702,Directed
343,345,Directed
343,325,Directed
344,702,Directed
345,319,Directed
345,316,Directed
346,349,Directed
346,343,Directed
346,702,Directed
346,351,Directed
346,325,Directed
347,702,Directed
347,554,Directed
349,316,Directed
349,702,Directed
349,351,Directed
349,325,Directed
350,349,Directed
350,702,Directed
350,351,Directed
350,325,Directed
351,319,Directed
351,316,Directed
353,349,Directed
353,702,Directed
353,351,Directed
353,325,Directed
354,122,Directed
355,335,Directed
355,599,Directed
355,316,Directed
355,349,Directed
355,519,Directed
355,356,Directed
355,343,Directed
355,553,Directed
355,336,Directed
355,332,Directed
356,336,Directed
356,519,Directed
356,335,Directed
357,135,Directed
357,519,Directed
357,553,Directed
358,325,Directed
358,702,Directed
358,703,Directed
358,326,Directed
359,370,Directed
359,316,Directed
359,349,Directed
359,371,Directed
359,364,Directed
359,332,Directed
359,333,Directed
361,44,Directed
362,694,Directed
362,703,Directed
362,325,Directed
362,702,Directed
362,326,Directed
363,702,Directed
364,333,Directed
364,332,Directed
365,349,Directed
365,702,Directed
365,351,Directed
365,325,Directed
367,334,Directed
368,316,Directed
368,702,Directed
368,325,Directed
370,332,Directed
370,364,Directed
370,316,Directed
370,349,Directed
370,333,Directed
371,349,Directed
371,702,Directed
371,351,Directed
371,325,Directed
372,351,Directed
372,319,Directed
372,349,Directed
372,316,Directed
372,371,Directed
374,349,Directed
374,371,Directed
374,372,Directed
374,702,Directed
374,351,Directed
374,325,Directed
376,375,Directed
377,375,Directed
378,375,Directed
380,43,Directed
381,65,Directed
381,44,Directed
383,396,Directed
384,396,Directed
386,396,Directed
389,396,Directed
390,702,Directed
391,396,Directed
392,396,Directed
393,396,Directed
394,396,Directed
395,396,Directed
397,65,Directed
397,44,Directed
397,702,Directed
397,581,Directed
398,702,Directed
399,702,Directed
400,702,Directed
401,702,Directed
402,702,Directed
403,702,Directed
406,702,Directed
409,702,Directed
410,122,Directed
413,581,Directed
414,576,Directed
414,44,Directed
414,325,Directed
415,162,Directed
415,519,Directed
415,553,Directed
417,287,Directed
419,126,Directed
420,441,Directed
420,519,Directed
420,553,Directed
427,134,Directed
431,134,Directed
433,553,Directed
436,554,Directed
437,560,Directed
439,438,Directed
440,420,Directed
441,519,Directed
441,553,Directed
442,44,Directed
442,325,Directed
443,449,Directed
444,445,Directed
449,445,Directed
450,448,Directed
451,452,Directed
454,325,Directed
454,703,Directed
454,702,Directed
454,326,Directed
455,121,Directed
461,460,Directed
461,519,Directed
461,441,Directed
461,599,Directed
461,627,Directed
461,166,Directed
462,282,Directed
463,282,Directed
464,191,Directed
465,287,Directed
466,277,Directed
467,275,Directed
469,474,Directed
469,166,Directed
470,275,Directed
471,277,Directed
472,470,Directed
473,475,Directed
473,441,Directed
473,519,Directed
473,553,Directed
474,281,Directed
475,283,Directed
475,519,Directed
475,460,Directed
475,553,Directed
476,281,Directed
477,191,Directed
478,475,Directed
478,599,Directed
478,519,Directed
478,553,Directed
479,478,Directed
479,627,Directed
479,519,Directed
479,553,Directed
480,460,Directed
481,460,Directed
485,293,Directed
485,484,Directed
485,44,Directed
486,44,Directed
487,276,Directed
488,482,Directed
488,44,Directed
488,65,Directed
488,166,Directed
488,332,Directed
488,498,Directed
489,134,Directed
490,498,Directed
491,65,Directed
492,65,Directed
495,702,Directed
496,506,Directed
499,493,Directed
500,287,Directed
501,702,Directed
502,282,Directed
504,702,Directed
505,493,Directed
507,287,Directed
508,275,Directed
509,482,Directed
513,134,Directed
