Source,Target,Type
1,5,Directed
1,229,Directed
2,5,Directed
2,229,Directed
3,236,Directed
3,229,Directed
3,161,Directed
3,152,Directed
3,169,Directed
3,175,Directed
3,168,Directed
3,160,Directed
3,273,Directed
3,162,Directed
4,238,Directed
4,5,Directed
4,236,Directed
4,229,Directed
4,234,Directed
4,1,Directed
4,155,Directed
4,178,Directed
11,10,Directed
14,15,Directed
16,15,Directed
18,24,Directed
20,28,Directed
20,29,Directed
22,28,Directed
22,29,Directed
23,28,Directed
23,27,Directed
23,29,Directed
25,28,Directed
25,29,Directed
26,28,Directed
26,29,Directed
27,18,Directed
27,29,Directed
27,30,Directed
28,29,Directed
29,21,Directed
30,29,Directed
31,21,Directed
32,72,Directed
34,38,Directed
34,162,Directed
34,168,Directed
34,273,Directed
34,160,Directed
34,158,Directed
34,182,Directed
34,72,Directed
34,29,Directed
34,216,Directed
34,32,Directed
34,59,Directed
34,203,Directed
34,197,Directed
34,207,Directed
34,210,Directed
34,213,Directed
35,59,Directed
35,84,Directed
36,59,Directed
36,84,Directed
37,234,Directed
37,175,Directed
38,162,Directed
38,201,Directed
38,30,Directed
38,168,Directed
38,273,Directed
38,160,Directed
38,158,Directed
38,182,Directed
38,72,Directed
38,29,Directed
38,216,Directed
38,32,Directed
38,59,Directed
38,203,Directed
38,197,Directed
38,207,Directed
38,210,Directed
38,213,Directed
39,59,Directed
39,84,Directed
40,59,Directed
40,84,Directed
41,59,Directed
41,84,Directed
42,59,Directed
42,84,Directed
43,59,Directed
43,84,Directed
44,59,Directed
44,84,Directed
45,59,Directed
45,84,Directed
46,59,Directed
46,84,Directed
47,59,Directed
47,84,Directed
48,59,Directed
48,84,Directed
49,59,Directed
49,84,Directed
50,59,Directed
50,84,Directed
51,59,Directed
51,84,Directed
52,59,Directed
52,84,Directed
53,59,Directed
53,84,Directed
54,59,Directed
54,84,Directed
55,59,Directed
55,84,Directed
56,59,Directed
56,84,Directed
57,59,Directed
57,84,Directed
58,159,Directed
59,84,Directed
60,61,Directed
61,236,Directed
61,161,Directed
61,152,Directed
61,169,Directed
61,160,Directed
61,175,Directed
61,168,Directed
61,273,Directed
61,162,Directed
62,75,Directed
62,158,Directed
62,61,Directed
63,240,Directed
63,176,Directed
63,155,Directed
63,171,Directed
64,61,Directed
64,160,Directed
64,161,Directed
64,152,Directed
64,169,Directed
64,175,Directed
64,168,Directed
64,273,Directed
64,162,Directed
65,66,Directed
65,189,Directed
65,203,Directed
65,162,Directed
65,182,Directed
65,29,Directed
65,210,Directed
65,218,Directed
65,207,Directed
66,197,Directed
66,184,Directed
66,30,Directed
66,189,Directed
66,203,Directed
66,162,Directed
66,182,Directed
66,29,Directed
66,210,Directed
