Source,Target,Type
0,1,Directed
0,170,Directed
1,170,Directed
2,190,Directed
3,170,Directed
4,170,Directed
6,170,Directed
7,8,Directed
7,170,Directed
9,172,Directed
10,8,Directed
10,12,Directed
10,170,Directed
13,8,Directed
13,170,Directed
14,145,Directed
14,162,Directed
15,16,Directed
17,16,Directed
17,170,Directed
18,15,Directed
18,170,Directed
19,16,Directed
19,170,Directed
20,16,Directed
20,170,Directed
21,17,Directed
21,170,Directed
22,170,Directed
23,145,Directed
26,23,Directed
26,170,Directed
28,33,Directed
28,162,Directed
29,33,Directed
29,162,Directed
30,31,Directed
30,190,Directed
31,23,Directed
31,190,Directed
33,23,Directed
34,23,Directed
34,162,Directed
35,54,Directed
35,170,Directed
37,54,Directed
37,144,Directed
37,170,Directed
38,65,Directed
38,169,Directed
38,170,Directed
39,56,Directed
40,35,Directed
40,170,Directed
41,42,Directed
43,59,Directed
43,170,Directed
44,35,Directed
44,144,Directed
44,170,Directed
45,46,Directed
47,35,Directed
47,144,Directed
47,170,Directed
49,54,Directed
50,35,Directed
50,144,Directed
50,170,Directed
51,52,Directed
53,35,Directed
53,144,Directed
53,170,Directed
53,129,Directed
54,170,Directed
55,54,Directed
55,144,Directed
55,170,Directed
57,65,Directed
57,169,Directed
57,170,Directed
58,49,Directed
58,54,Directed
59,35,Directed
59,144,Directed
59,170,Directed
60,62,Directed
61,59,Directed
63,59,Directed
63,170,Directed
64,35,Directed
64,170,Directed
65,54,Directed
65,169,Directed
65,170,Directed
69,68,Directed
69,144,Directed
70,78,Directed
70,170,Directed
72,70,Directed
72,144,Directed
72,170,Directed
74,78,Directed
75,70,Directed
75,144,Directed
75,170,Directed
75,77,Directed
76,77,Directed
78,170,Directed
79,74,Directed
79,78,Directed
81,70,Directed
81,144,Directed
81,84,Directed
81,170,Directed
81,86,Directed
81,87,Directed
82,86,Directed
83,87,Directed
85,81,Directed
88,84,Directed
89,170,Directed
89,90,Directed
89,190,Directed
91,90,Directed
92,170,Directed
93,170,Directed
94,162,Directed
94,170,Directed
95,144,Directed
95,113,Directed
95,172,Directed
96,95,Directed
96,113,Directed
96,172,Directed
97,104,Directed
97,172,Directed
97,129,Directed
98,113,Directed
98,105,Directed
98,170,Directed
102,104,Directed
102,172,Directed
102,129,Directed
103,113,Directed
103,172,Directed
104,113,Directed
104,172,Directed
104,129,Directed
106,111,Directed
106,172,Directed
107,109,Directed
107,170,Directed
109,96,Directed
109,172,Directed
110,112,Directed
110,172,Directed
111,112,Directed
111,172,Directed
112,96,Directed
112,172,Directed
114,95,Directed
114,113,Directed
114,172,Directed
115,121,Directed
118,108,Directed
119,172,Directed
119,121,Directed
120,170,Directed
120,121,Directed
122,113,Directed
123,172,Directed
124,129,Directed
124,172,Directed
124,170,Directed
127,124,Directed
127,134,Directed
127,170,Directed
128,125,Directed
130,172,Directed
130,129,Directed
131,170,Directed
131,169,Directed
132,170,Directed
132,169,Directed
133,170,Directed
135,170,Directed
135,134,Directed
136,134,Directed
136,129,Directed
136,172,Directed
137,190,Directed
137,170,Directed
138,170,Directed
138,173,Directed
138,172,Directed
139,170,Directed
139,1,Directed
145,144,Directed
151,153,Directed
152,202,Directed
157,170,Directed
157,205,Directed
157,221,Directed
158,157,Directed
158,205,Directed
158,221,Directed
159,171,Directed
159,169,Directed
159,162,Directed
159,205,Directed
159,189,Directed
159,221,Directed
160,171,Directed
160,189,Directed
160,162,Directed
160,205,Directed
160,221,Directed
161,189,Directed
162,170,Directed
162,221,Directed
162,205,Directed
163,167,Directed
163,162,Directed
163,174,Directed
163,221,Directed
163,205,Directed
164,162,Directed
165,158,Directed
165,162,Directed
