Source,Target,Type
12,126,Directed
12,137,Directed
12,177,Directed
13,178,Directed
15,170,Directed
15,177,Directed
15,137,Directed
15,148,Directed
15,144,Directed
15,178,Directed
15,129,Directed
15,180,Directed
15,138,Directed
16,138,Directed
16,129,Directed
21,133,Directed
21,131,Directed
21,130,Directed
22,131,Directed
22,137,Directed
22,126,Directed
22,138,Directed
22,129,Directed
23,170,Directed
23,137,Directed
23,148,Directed
23,144,Directed
23,178,Directed
23,129,Directed
23,180,Directed
23,138,Directed
24,147,Directed
26,147,Directed
26,129,Directed
26,146,Directed
26,133,Directed
27,129,Directed
28,133,Directed
31,78,Directed
31,29,Directed
34,170,Directed
34,177,Directed
34,137,Directed
34,148,Directed
34,144,Directed
34,178,Directed
34,129,Directed
34,180,Directed
34,138,Directed
38,37,Directed
41,40,Directed
43,159,Directed
43,179,Directed
43,174,Directed
43,148,Directed
43,144,Directed
43,178,Directed
43,129,Directed
43,180,Directed
43,138,Directed
44,179,Directed
44,43,Directed
44,174,Directed
45,159,Directed
45,179,Directed
45,174,Directed
45,148,Directed
45,144,Directed
45,178,Directed
45,129,Directed
45,180,Directed
45,138,Directed
46,179,Directed
47,179,Directed
49,38,Directed
49,180,Directed
49,37,Directed
51,40,Directed
52,180,Directed
52,40,Directed
52,37,Directed
52,38,Directed
55,38,Directed
55,37,Directed
59,58,Directed
60,58,Directed
62,61,Directed
63,147,Directed
63,61,Directed
63,129,Directed
63,146,Directed
63,133,Directed
64,177,Directed
64,137,Directed
65,177,Directed
65,137,Directed
66,177,Directed
66,137,Directed
67,137,Directed
67,148,Directed
67,129,Directed
68,177,Directed
68,137,Directed
69,177,Directed
69,137,Directed
70,177,Directed
70,137,Directed
71,177,Directed
71,137,Directed
75,78,Directed
76,77,Directed
77,78,Directed
79,131,Directed
79,137,Directed
79,126,Directed
79,138,Directed
79,129,Directed
80,131,Directed
80,138,Directed
80,137,Directed
80,126,Directed
80,129,Directed
81,131,Directed
81,137,Directed
81,126,Directed
81,138,Directed
81,129,Directed
82,148,Directed
82,98,Directed
82,129,Directed
83,137,Directed
83,148,Directed
83,129,Directed
86,137,Directed
86,141,Directed
86,143,Directed
86,148,Directed
86,144,Directed
86,129,Directed
86,138,Directed
89,137,Directed
89,141,Directed
89,143,Directed
89,148,Directed
89,144,Directed
89,129,Directed
89,138,Directed
92,99,Directed
92,148,Directed
92,129,Directed
96,98,Directed
97,86,Directed
97,148,Directed
97,144,Directed
97,129,Directed
97,138,Directed
99,98,Directed
100,148,Directed
100,129,Directed
100,57,Directed
103,179,Directed
104,179,Directed
105,179,Directed
107,179,Directed
107,174,Directed
108,179,Directed
109,179,Directed
110,72,Directed
111,124,Directed
111,179,Directed
111,174,Directed
113,118,Directed
113,179,Directed
113,174,Directed
114,78,Directed
115,179,Directed
115,113,Directed
116,118,Directed
116,179,Directed
116,174,Directed
117,179,Directed
118,179,Directed
118,174,Directed
119,116,Directed
119,179,Directed
119,174,Directed
120,121,Directed
120,174,Directed
120,179,Directed
121,118,Directed
121,174,Directed
121,179,Directed
122,179,Directed
123,118,Directed
123,179,Directed
123,174,Directed
124,118,Directed
124,179,Directed
124,174,Directed
125,179,Directed
126,137,Directed
126,177,Directed
127,177,Directed
127,137,Directed
128,129,Directed
130,133,Directed
130,126,Directed
130,131,Directed
130,137,Directed
130,147,Directed
130,61,Directed
131,126,Directed
131,137,Directed
131,138,Directed
131,129,Directed
132,131,Directed
132,137,Directed
132,126,Directed
132,138,Directed
132,129,Directed
133,147,Directed
135,147,Directed
135,129,Directed
135,146,Directed
135,133,Directed
137,128,Directed
137,148,Directed
137,129,Directed
138,129,Directed
139,138,Directed
139,129,Directed
140,138,Directed
140,129,Directed
141,138,Directed
143,144,Directed
144,129,Directed
145,129,Directed
146,129,Directed
147,129,Directed
147,146,Directed
148,129,Directed
148,146,Directed
148,147,Directed
148,133,Directed
149,156,Directed
150,156,Directed
151,156,Directed
152,156,Directed
153,156,Directed
154,156,Directed
155,156,Directed
158,97,Directed
158,148,Directed
158,144,Directed
158,129,Directed
158,138,Directed
159,165,Directed
159,148,Directed
159,144,Directed
159,178,Directed
159,129,Directed
159,180,Directed
159,138,Directed
160,102,Directed
161,159,Directed
161,148,Directed
161,144,Directed
161,178,Directed
161,129,Directed
161,180,Directed
161,138,Directed
162,170,Directed
162,137,Directed
162,148,Directed
162,144,Directed
162,178,Directed
162,129,Directed
162,180,Directed
162,138,Directed
164,159,Directed
164,148,Directed
164,144,Directed
164,178,Directed
164,129,Directed
164,180,Directed
164,138,Directed
165,137,Directed
165,141,Directed
165,143,Directed
165,148,Directed
165,144,Directed
165,178,Directed
165,129,Directed
165,180,Directed
165,138,Directed
166,178,Directed
167,179,Directed
170,165,Directed
170,177,Directed
170,137,Directed
170,148,Directed
170,144,Directed
170,178,Directed
170,129,Directed
170,180,Directed
170,138,Directed
172,173,Directed
174,173,Directed
175,102,Directed
177,137,Directed
