Source,Target,Type
1,6,Directed
1,0,Directed
1,5,Directed
1,7,Directed
1,2,Directed
2,5,Directed
2,7,Directed
4,7,Directed
4,5,Directed
4,2,Directed
4,1,Directed
5,7,Directed
13,12,Directed
14,12,Directed
16,15,Directed
17,11,Directed
18,40,Directed
18,626,Directed
18,631,Directed
19,37,Directed
19,631,Directed
20,37,Directed
20,631,Directed
21,15,Directed
22,11,Directed
23,33,Directed
23,631,Directed
24,37,Directed
24,626,Directed
24,631,Directed
26,37,Directed
26,626,Directed
26,631,Directed
27,37,Directed
27,626,Directed
27,631,Directed
28,37,Directed
28,626,Directed
28,631,Directed
29,37,Directed
29,626,Directed
29,631,Directed
30,37,Directed
30,626,Directed
30,631,Directed
32,37,Directed
32,626,Directed
32,631,Directed
33,37,Directed
33,631,Directed
34,37,Directed
34,626,Directed
34,631,Directed
35,37,Directed
35,626,Directed
35,631,Directed
36,37,Directed
36,626,Directed
36,631,Directed
37,631,Directed
38,631,Directed
40,37,Directed
40,626,Directed
40,631,Directed
42,626,Directed
42,623,Directed
42,631,Directed
42,632,Directed
43,632,Directed
45,37,Directed
45,626,Directed
45,631,Directed
46,37,Directed
46,626,Directed
46,631,Directed
47,37,Directed
47,626,Directed
47,631,Directed
48,37,Directed
48,626,Directed
48,631,Directed
49,37,Directed
49,631,Directed
51,15,Directed
52,15,Directed
53,15,Directed
57,211,Directed
57,86,Directed
58,211,Directed
58,86,Directed
62,262,Directed
62,219,Directed
62,167,Directed
62,189,Directed
62,271,Directed
63,271,Directed
63,62,Directed
63,264,Directed
63,267,Directed
63,219,Directed
64,219,Directed
64,267,Directed
64,62,Directed
64,264,Directed
65,271,Directed
65,264,Directed
65,267,Directed
65,219,Directed
66,211,Directed
66,86,Directed
67,211,Directed
67,86,Directed
68,211,Directed
68,86,Directed
69,211,Directed
69,86,Directed
73,211,Directed
73,86,Directed
74,211,Directed
74,86,Directed
75,271,Directed
75,264,Directed
75,267,Directed
75,219,Directed
76,219,Directed
76,267,Directed
76,62,Directed
76,264,Directed
77,271,Directed
77,264,Directed
77,267,Directed
77,219,Directed
78,237,Directed
79,271,Directed
79,264,Directed
79,267,Directed
79,219,Directed
80,211,Directed
80,86,Directed
81,211,Directed
81,86,Directed
83,271,Directed
83,264,Directed
83,267,Directed
83,219,Directed
84,219,Directed
84,267,Directed
84,62,Directed
84,264,Directed
85,271,Directed
85,264,Directed
85,267,Directed
85,219,Directed
86,262,Directed
87,219,Directed
87,267,Directed
87,86,Directed
87,62,Directed
87,264,Directed
88,62,Directed
88,155,Directed
90,93,Directed
90,167,Directed
90,262,Directed
90,193,Directed
90,88,Directed
90,155,Directed
90,158,Directed
90,119,Directed
90,89,Directed
90,178,Directed
90,200,Directed
91,219,Directed
91,267,Directed
91,90,Directed
91,62,Directed
91,264,Directed
91,167,Directed
92,271,Directed
92,90,Directed
92,264,Directed
92,267,Directed
92,219,Directed
94,97,Directed
94,96,Directed
95,211,Directed
95,86,Directed
96,274,Directed
96,62,Directed
96,77,Directed
96,85,Directed
96,167,Directed
96,219,Directed
96,65,Directed
96,249,Directed
96,171,Directed
96,204,Directed
96,231,Directed
96,148,Directed
96,226,Directed
96,224,Directed
96,146,Directed
96,125,Directed
96,104,Directed
97,274,Directed
97,62,Directed
97,167,Directed
97,219,Directed
98,262,Directed
99,219,Directed
99,267,Directed
99,98,Directed
99,62,Directed
99,264,Directed
100,101,Directed
100,167,Directed
