Source,Target,Type
0,234,Directed
0,279,Directed
0,233,Directed
0,257,Directed
0,261,Directed
2,5,Directed
2,6,Directed
2,7,Directed
4,269,Directed
5,117,Directed
5,58,Directed
7,117,Directed
8,11,Directed
8,47,Directed
8,13,Directed
8,21,Directed
8,48,Directed
8,40,Directed
8,18,Directed
9,12,Directed
10,13,Directed
11,17,Directed
11,13,Directed
11,21,Directed
11,47,Directed
11,48,Directed
11,40,Directed
11,18,Directed
13,21,Directed
14,11,Directed
14,47,Directed
14,13,Directed
14,21,Directed
14,48,Directed
14,40,Directed
14,18,Directed
15,12,Directed
16,13,Directed
17,47,Directed
17,21,Directed
17,18,Directed
17,40,Directed
19,21,Directed
19,22,Directed
20,19,Directed
22,23,Directed
22,58,Directed
22,41,Directed
22,88,Directed
22,304,Directed
23,40,Directed
23,118,Directed
25,29,Directed
25,26,Directed
25,28,Directed
25,34,Directed
25,303,Directed
25,304,Directed
25,33,Directed
25,27,Directed
25,279,Directed
26,29,Directed
27,29,Directed
28,29,Directed
29,34,Directed
30,29,Directed
31,29,Directed
32,29,Directed
33,29,Directed
34,279,Directed
35,17,Directed
35,47,Directed
35,21,Directed
35,18,Directed
35,40,Directed
36,27,Directed
36,35,Directed
36,37,Directed
36,29,Directed
37,21,Directed
37,34,Directed
37,29,Directed
38,27,Directed
38,35,Directed
38,29,Directed
40,118,Directed
40,58,Directed
40,41,Directed
40,304,Directed
41,39,Directed
41,273,Directed
42,47,Directed
42,304,Directed
42,19,Directed
42,40,Directed
42,21,Directed
42,46,Directed
42,45,Directed
42,48,Directed
43,45,Directed
43,21,Directed
43,47,Directed
43,40,Directed
43,19,Directed
44,45,Directed
44,21,Directed
44,19,Directed
45,19,Directed
46,21,Directed
47,48,Directed
47,304,Directed
47,19,Directed
47,40,Directed
47,21,Directed
47,46,Directed
47,45,Directed
48,21,Directed
48,40,Directed
48,19,Directed
49,17,Directed
49,47,Directed
49,21,Directed
49,18,Directed
49,40,Directed
50,21,Directed
50,18,Directed
52,22,Directed
52,23,Directed
52,58,Directed
53,52,Directed
53,18,Directed
54,40,Directed
54,53,Directed
54,22,Directed
54,118,Directed
54,58,Directed
54,47,Directed
54,41,Directed
54,304,Directed
54,89,Directed
54,52,Directed
56,45,Directed
56,41,Directed
56,54,Directed
56,19,Directed
58,137,Directed
58,59,Directed
58,279,Directed
58,21,Directed
60,40,Directed
60,17,Directed
60,53,Directed
60,47,Directed
60,279,Directed
60,58,Directed
60,137,Directed
60,69,Directed
60,41,Directed
60,273,Directed
60,146,Directed
60,65,Directed
60,304,Directed
61,122,Directed
61,65,Directed
61,58,Directed
61,173,Directed
61,146,Directed
61,279,Directed
62,123,Directed
62,69,Directed
62,58,Directed
62,140,Directed
63,65,Directed
63,58,Directed
63,66,Directed
63,21,Directed
64,69,Directed
64,58,Directed
64,67,Directed
64,21,Directed
65,66,Directed
65,21,Directed
66,58,Directed
66,68,Directed
67,58,Directed
67,68,Directed
69,58,Directed
69,67,Directed
69,21,Directed
70,22,Directed
70,23,Directed
