Source,Target,Type
0,3,Directed
0,688,Directed
0,750,Directed
0,686,Directed
0,720,Directed
1,0,Directed
1,737,Directed
1,5,Directed
1,768,Directed
1,686,Directed
1,720,Directed
1,765,Directed
1,753,Directed
1,3,Directed
2,26,Directed
2,750,Directed
2,720,Directed
2,714,Directed
2,718,Directed
3,686,Directed
3,720,Directed
4,750,Directed
4,3,Directed
4,720,Directed
5,737,Directed
5,720,Directed
6,31,Directed
6,750,Directed
6,26,Directed
6,714,Directed
6,720,Directed
6,32,Directed
7,693,Directed
7,750,Directed
7,3,Directed
7,694,Directed
8,0,Directed
8,737,Directed
8,768,Directed
8,686,Directed
8,720,Directed
8,765,Directed
8,753,Directed
8,18,Directed
8,3,Directed
10,11,Directed
10,21,Directed
12,11,Directed
13,11,Directed
14,11,Directed
15,11,Directed
16,677,Directed
17,16,Directed
18,17,Directed
18,16,Directed
19,17,Directed
19,23,Directed
20,16,Directed
21,20,Directed
22,20,Directed
24,33,Directed
24,686,Directed
24,720,Directed
24,1068,Directed
24,3,Directed
25,0,Directed
25,737,Directed
25,768,Directed
25,686,Directed
25,720,Directed
25,765,Directed
25,3,Directed
26,750,Directed
26,720,Directed
26,714,Directed
26,718,Directed
27,26,Directed
27,750,Directed
27,720,Directed
27,714,Directed
27,718,Directed
29,0,Directed
29,737,Directed
29,5,Directed
29,768,Directed
29,686,Directed
29,720,Directed
29,765,Directed
29,3,Directed
30,750,Directed
30,720,Directed
30,32,Directed
30,26,Directed
31,750,Directed
31,26,Directed
31,720,Directed
31,32,Directed
31,714,Directed
32,750,Directed
32,26,Directed
32,720,Directed
33,0,Directed
33,737,Directed
33,686,Directed
33,3,Directed
33,720,Directed
34,0,Directed
34,737,Directed
34,768,Directed
34,686,Directed
34,720,Directed
34,765,Directed
34,753,Directed
34,54,Directed
34,3,Directed
36,750,Directed
36,714,Directed
36,720,Directed
36,718,Directed
38,750,Directed
38,714,Directed
38,720,Directed
39,45,Directed
39,47,Directed
39,718,Directed
40,46,Directed
40,720,Directed
40,718,Directed
40,45,Directed
40,48,Directed
41,46,Directed
41,720,Directed
41,718,Directed
41,45,Directed
41,48,Directed
42,718,Directed
42,720,Directed
42,677,Directed
43,720,Directed
43,718,Directed
43,677,Directed
43,684,Directed
44,39,Directed
44,47,Directed
44,718,Directed
44,45,Directed
45,750,Directed
45,47,Directed
45,718,Directed
46,750,Directed
46,720,Directed
46,45,Directed
46,718,Directed
46,48,Directed
47,750,Directed
48,750,Directed
48,720,Directed
48,54,Directed
48,45,Directed
48,718,Directed
54,750,Directed
54,57,Directed
54,56,Directed
55,750,Directed
56,750,Directed
57,750,Directed
58,688,Directed
58,750,Directed
58,686,Directed
58,720,Directed
59,750,Directed
59,58,Directed
59,720,Directed
61,750,Directed
61,58,Directed
61,720,Directed
61,59,Directed
61,718,Directed
62,58,Directed
62,686,Directed
62,720,Directed
63,718,Directed
63,720,Directed
64,59,Directed
64,737,Directed
64,102,Directed
64,58,Directed
64,720,Directed
64,753,Directed
65,750,Directed
65,64,Directed
66,714,Directed
66,64,Directed
66,65,Directed
67,58,Directed
67,103,Directed
67,737,Directed
67,768,Directed
67,686,Directed
67,765,Directed
67,720,Directed
68,693,Directed
68,58,Directed
68,59,Directed
68,694,Directed
69,58,Directed
69,60,Directed
69,737,Directed
69,686,Directed
69,720,Directed
70,84,Directed
70,737,Directed
70,76,Directed
70,686,Directed
70,720,Directed
70,718,Directed
70,113,Directed
70,58,Directed
71,58,Directed
71,103,Directed
71,768,Directed
71,686,Directed
71,765,Directed
71,720,Directed
72,750,Directed
72,71,Directed
72,718,Directed
72,720,Directed
73,58,Directed
73,737,Directed
73,686,Directed
73,720,Directed
73,753,Directed
73,114,Directed
74,73,Directed
74,60,Directed
74,737,Directed
74,58,Directed
74,686,Directed
74,720,Directed
74,753,Directed
74,114,Directed
75,73,Directed
75,103,Directed
75,737,Directed
75,58,Directed
75,686,Directed
75,720,Directed
75,753,Directed
75,114,Directed
77,59,Directed
77,737,Directed
77,58,Directed
77,720,Directed
78,58,Directed
78,60,Directed
78,737,Directed
78,686,Directed
78,1068,Directed
78,720,Directed
79,58,Directed
79,103,Directed
79,737,Directed
79,686,Directed
79,1068,Directed
79,720,Directed
80,58,Directed
80,60,Directed
80,737,Directed
80,686,Directed
80,720,Directed
81,59,Directed
81,102,Directed
81,737,Directed
81,768,Directed
81,58,Directed
81,720,Directed
81,765,Directed
82,750,Directed
82,81,Directed
83,59,Directed
83,96,Directed
83,102,Directed
83,737,Directed
83,58,Directed
83,720,Directed
84,58,Directed
84,103,Directed
84,720,Directed
84,718,Directed
84,686,Directed
85,58,Directed
85,60,Directed
85,737,Directed
85,686,Directed
85,720,Directed
86,750,Directed
86,720,Directed
86,103,Directed
87,750,Directed
87,86,Directed
88,714,Directed
88,86,Directed
88,87,Directed
89,106,Directed
89,63,Directed
89,737,Directed
89,686,Directed
89,718,Directed
89,720,Directed
89,58,Directed
90,59,Directed
90,737,Directed
90,102,Directed
90,768,Directed
90,753,Directed
90,58,Directed
90,720,Directed
90,765,Directed
91,58,Directed
91,60,Directed
91,737,Directed
91,686,Directed
91,720,Directed
92,106,Directed
92,63,Directed
92,737,Directed
92,686,Directed
92,718,Directed
92,720,Directed
92,58,Directed
93,59,Directed
93,96,Directed
93,737,Directed
93,768,Directed
93,58,Directed
93,720,Directed
93,765,Directed
93,753,Directed
94,59,Directed
94,102,Directed
94,737,Directed
94,768,Directed
94,58,Directed
94,720,Directed
94,765,Directed
95,59,Directed
95,737,Directed
95,768,Directed
95,58,Directed
95,720,Directed
95,765,Directed
97,59,Directed
97,96,Directed
97,102,Directed
97,737,Directed
97,58,Directed
