algorithm,graph,iteration,vertices,edges,time
Reach,random_dag_with_5000_vertices5000_edges,0,5000,5000,0.016337
Reach,random_dag_with_5000_vertices10000_edges,0,5000,10000,0.022719
Reach,random_dag_with_5000_vertices15000_edges,0,5000,15000,0.082701
Reach,random_dag_with_5000_vertices20000_edges,0,5000,20000,0.140822
Reach,random_dag_with_5000_vertices25000_edges,0,5000,25000,0.216494
Reach,random_dag_with_5000_vertices30000_edges,0,5000,30000,0.293821
Reach,random_dag_with_5000_vertices35000_edges,0,5000,35000,0.403797
Reach,random_dag_with_5000_vertices40000_edges,0,5000,40000,0.492375
Reach,random_dag_with_5000_vertices45000_edges,0,5000,45000,0.569269
Reach,random_dag_with_5000_vertices50000_edges,0,5000,50000,0.646557
Reach,random_dag_with_5000_vertices55000_edges,0,5000,55000,0.749991
Reach,random_dag_with_5000_vertices60000_edges,0,5000,60000,0.869799
Reach,random_dag_with_5000_vertices65000_edges,0,5000,65000,0.921929
Reach,random_dag_with_5000_vertices70000_edges,0,5000,70000,1.013009
Reach,random_dag_with_5000_vertices75000_edges,0,5000,75000,1.093422
Reach,random_dag_with_5000_vertices80000_edges,0,5000,80000,1.263926
Reach,random_dag_with_5000_vertices85000_edges,0,5000,85000,1.348449
Reach,random_dag_with_5000_vertices90000_edges,0,5000,90000,1.588406
Reach,random_dag_with_5000_vertices95000_edges,0,5000,95000,1.510892
Reach,random_dag_with_5000_vertices100000_edges,0,5000,100000,1.654826
Reach,random_dag_with_5000_vertices105000_edges,0,5000,105000,1.726574
Reach,random_dag_with_5000_vertices110000_edges,0,5000,110000,1.83051
Reach,random_dag_with_5000_vertices115000_edges,0,5000,115000,2.035018
Reach,random_dag_with_5000_vertices120000_edges,0,5000,120000,2.012804
Reach,random_dag_with_5000_vertices125000_edges,0,5000,125000,2.186831
Reach,random_dag_with_5000_vertices130000_edges,0,5000,130000,2.254528
Reach,random_dag_with_5000_vertices135000_edges,0,5000,135000,2.314432
Reach,random_dag_with_5000_vertices140000_edges,0,5000,140000,2.573404
Reach,random_dag_with_5000_vertices145000_edges,0,5000,145000,2.59183
Reach,random_dag_with_5000_vertices150000_edges,0,5000,150000,2.691271
Reach,random_dag_with_5000_vertices5000_edges,0,5000,5000,0.003716
Reach,random_dag_with_5000_vertices10000_edges,0,5000,10000,0.019241
Reach,random_dag_with_5000_vertices15000_edges,0,5000,15000,0.069108
Reach,random_dag_with_5000_vertices20000_edges,0,5000,20000,0.132262
Reach,random_dag_with_5000_vertices25000_edges,0,5000,25000,0.208133
Reach,random_dag_with_5000_vertices30000_edges,0,5000,30000,0.282791
Reach,random_dag_with_5000_vertices35000_edges,0,5000,35000,0.372592
Reach,random_dag_with_5000_vertices40000_edges,0,5000,40000,0.467716
Reach,random_dag_with_5000_vertices45000_edges,0,5000,45000,0.614498
Reach,random_dag_with_5000_vertices50000_edges,0,5000,50000,0.656785
Reach,random_dag_with_5000_vertices55000_edges,0,5000,55000,0.72169
Reach,random_dag_with_5000_vertices60000_edges,0,5000,60000,0.824058
Reach,random_dag_with_5000_vertices65000_edges,0,5000,65000,0.914661
Reach,random_dag_with_5000_vertices70000_edges,0,5000,70000,0.983705
Reach,random_dag_with_5000_vertices75000_edges,0,5000,75000,1.068436
Reach,random_dag_with_5000_vertices80000_edges,0,5000,80000,1.370847
Reach,random_dag_with_5000_vertices85000_edges,0,5000,85000,1.312885
Reach,random_dag_with_5000_vertices90000_edges,0,5000,90000,1.422921
Reach,random_dag_with_5000_vertices95000_edges,0,5000,95000,1.489395
Reach,random_dag_with_5000_vertices100000_edges,0,5000,100000,1.639444
Reach,random_dag_with_5000_vertices105000_edges,0,5000,105000,1.850849
Reach,random_dag_with_5000_vertices110000_edges,0,5000,110000,1.839318
Reach,random_dag_with_5000_vertices115000_edges,0,5000,115000,1.939107
Reach,random_dag_with_5000_vertices120000_edges,0,5000,120000,2.001374
Reach,random_dag_with_5000_vertices125000_edges,0,5000,125000,2.147241
Reach,random_dag_with_5000_vertices130000_edges,0,5000,130000,2.391056
Reach,random_dag_with_5000_vertices135000_edges,0,5000,135000,2.356279
Reach,random_dag_with_5000_vertices140000_edges,0,5000,140000,2.580035
Reach,random_dag_with_5000_vertices145000_edges,0,5000,145000,2.563372
Reach,random_dag_with_5000_vertices150000_edges,0,5000,150000,2.76922
