algorithm,graph,iteration,vertices,edges,time
Distribution,junit,0,181,216,0.263888
Distribution,jmail,0,282,437,0.450137
Distribution,sjbullet,0,309,436,0.662561
Distribution,flamingo,0,388,333,1.057221
Distribution,jung,0,532,0,2.982041
Distribution,sjung,0,533,0,2.973297
Distribution,colt,0,550,729,2.091101
Distribution,scolt,0,550,729,2.090947
Distribution,org,0,799,3273,2.311498
Distribution,guava,0,838,432,6.331578
Distribution,jung-c,0,1040,735,9.619249
Distribution,weka,0,2124,4263,10.007171
Distribution,java,0,2379,14538,7.150934
Distribution,javax,0,3310,7216,10.021756
Distribution,slucene,0,3471,6252,10.011077
Distribution,jung-j,0,6126,50109,10.015662
Distribution,jdk,0,6488,53470,10.944119
SAASBetweenness,junit,0,181,216,0.028292
SAASBetweenness,jmail,0,282,437,0.073938
SAASBetweenness,sjbullet,0,309,436,0.072826
SAASBetweenness,flamingo,0,388,333,0.069229
SAASBetweenness,jung,0,532,0,0.058719
SAASBetweenness,sjung,0,533,0,0.034777
SAASBetweenness,colt,0,550,729,0.08125
SAASBetweenness,scolt,0,550,729,0.080267
SAASBetweenness,org,0,799,3273,0.747666
SAASBetweenness,guava,0,838,432,0.160893
SAASBetweenness,jung-c,0,1040,735,0.374906
SAASBetweenness,weka,0,2124,4263,4.631564
SAASBetweenness,java,0,2379,14538,8.222967
SAASBetweenness,javax,0,3310,7216,10.003378
SAASBetweenness,slucene,0,3471,6252,10.015379
SAASBetweenness,jung-j,0,6126,50109,10.014149
SAASBetweenness,jdk,0,6488,53470,10.013174
