algorithm,graph,iteration,vertices,time
Reach,junit,0,181,0.003578
Reach,jmail,0,282,0.004416
Reach,sjbullet,0,309,0.001133
Reach,flamingo,0,388,5.88E-4
Reach,jung,0,532,0.002458
Reach,sjung,0,533,0.002051
Reach,colt,0,550,0.001007
Reach,scolt,0,550,8.49E-4
Reach,org,0,799,0.001833
Reach,guava,0,838,7.94E-4
Reach,jung-c,0,1040,6.92E-4
Reach,weka,0,2124,0.001905
Reach,java,0,2379,0.007124
Reach,javax,0,3310,0.004419
Reach,slucene,0,3471,0.005843
Reach,jung-j,0,6126,0.04788
Reach,jdk,0,6488,0.055011
Dependency,junit,0,181,2.73E-4
Dependency,jmail,0,282,9.36E-4
Dependency,sjbullet,0,309,4.89E-4
Dependency,flamingo,0,388,3.74E-4
Dependency,jung,0,532,8.93E-4
Dependency,sjung,0,533,0.002001
Dependency,colt,0,550,5.4E-4
Dependency,scolt,0,550,4.4E-4
Dependency,org,0,799,0.00137
Dependency,guava,0,838,3.4E-4
Dependency,jung-c,0,1040,8.09E-4
Dependency,weka,0,2124,0.001706
Dependency,java,0,2379,0.005894
Dependency,javax,0,3310,0.004707
Dependency,slucene,0,3471,0.005646
Dependency,jung-j,0,6126,0.052589
Dependency,jdk,0,6488,0.054725
SAASBetweenness,junit,15,181,1.75E-4
SAASBetweenness,jmail,15,282,3.9E-5
SAASBetweenness,sjbullet,15,309,1.36E-4
SAASBetweenness,flamingo,15,388,3.4E-5
SAASBetweenness,jung,15,532,1.0E-5
SAASBetweenness,sjung,15,533,1.1E-5
SAASBetweenness,colt,15,550,7.0E-6
SAASBetweenness,scolt,15,550,7.0E-6
SAASBetweenness,org,15,799,1.1E-5
SAASBetweenness,guava,15,838,1.1E-5
SAASBetweenness,jung-c,15,1040,2.3E-5
SAASBetweenness,weka,15,2124,1.2E-5
SAASBetweenness,java,15,2379,1.1E-5
SAASBetweenness,javax,15,3310,1.2E-5
SAASBetweenness,slucene,15,3471,1.71E-4
SAASBetweenness,jung-j,15,6126,1.7E-4
SAASBetweenness,jdk,15,6488,6.0E-5
