algorithm,graph,iteration,vertices,edges,time
Dependency,junit,0,181,216,0.003505
Dependency,jmail,0,282,437,0.001743
Dependency,sjbullet,0,309,436,0.001115
Dependency,flamingo,0,388,333,0.001265
Dependency,jung,0,532,0,9.53E-4
Dependency,sjung,0,533,0,8.02E-4
Dependency,colt,0,550,729,0.001275
Dependency,scolt,0,550,729,8.08E-4
Dependency,org,0,799,3273,0.002045
Dependency,guava,0,838,432,7.8E-4
Dependency,jung-c,0,1040,735,8.02E-4
Dependency,weka,0,2124,4263,0.002467
Dependency,java,0,2379,14538,0.009392
Dependency,javax,0,3310,7216,0.00479
Dependency,slucene,0,3471,6252,0.004488
Dependency,jung-j,0,6126,50109,0.057671
Dependency,jdk,0,6488,53470,0.053018
