algorithm,graph,iteration,vertices,edges,time
Distribution,junit,0,181,216,0.263888
Distribution,jmail,0,282,437,0.450137
Distribution,sjbullet,0,309,436,0.662561
Distribution,flamingo,0,388,333,1.057221
Distribution,jung,0,532,0,2.982041
Distribution,sjung,0,533,0,2.973297
Distribution,colt,0,550,729,2.091101
Distribution,scolt,0,550,729,2.090947
Distribution,org,0,799,3273,2.311498
Distribution,guava,0,838,432,6.331578
Distribution,jung-c,0,1040,735,9.619249
Distribution,weka,0,2124,4263,10.007171
Distribution,java,0,2379,14538,7.150934
Distribution,javax,0,3310,7216,10.021756
Distribution,slucene,0,3471,6252,10.011077
Distribution,jung-j,0,6126,50109,10.015662
Distribution,jdk,0,6488,53470,10.944119
