algorithm,graph,iteration,vertices,edges,time
Reach,junit,0,181,216,0.003952
Reach,jmail,0,282,437,0.001018
Reach,sjbullet,0,309,436,8.09E-4
Reach,flamingo,0,388,333,9.43E-4
Reach,jung,0,532,0,0.001732
Reach,sjung,0,533,0,9.98E-4
Reach,colt,0,550,729,0.001139
Reach,scolt,0,550,729,0.001273
Reach,org,0,799,3273,0.001841
Reach,guava,0,838,432,7.61E-4
Reach,jung-c,0,1040,735,8.85E-4
Reach,weka,0,2124,4263,0.001758
Reach,java,0,2379,14538,0.006957
Reach,javax,0,3310,7216,0.003749
Reach,slucene,0,3471,6252,0.003192
Reach,jung-j,0,6126,50109,0.049316
Reach,jdk,0,6488,53470,0.054134
